,description
90,"Обязанности:  Обеспечение бесперебойной работы производственного, вспомогательного оборудования и инженерных систем здания; Разработка и составление ППР электрооборудования, оборудования; Участие в модернизации технологического оборудования; Анализ слада запасных частей, составление заявок в системе SAP; Оперативное руководство работой электромехаников; Участие и поддержка инвестиционных проектов.  Требования:  Опыт работы на аналогичной должности; Курсы программирования SIEMENS simatic; Группа допуска по электробезопасности 3 до 1000 В. Знание технического английского языка; Знание современных компонентов системы автоматизации производства; Умение программировать промышленные контроллеры (PLC) Siemens; Частотные привода электродвигателей (фирм ABB, SEW, Lenze, Siemens); Знание низовой автоматики АСУТП; Знание работы пневматических систем управления.  Условия:  Работа в крупной западной производственной компании; Возможности для профессионального роста и развития; Оформление по ТК РФ; Испытательный срок - 3 месяца; График работы - 5-дневная рабочая неделя с 8.00 до 16.45 пн-чт, с 8.00 до 15.30 пт, сб, вс- выходные; Место работы - ул. Полевая-Сабировская (ст.м. Черная речка / Старая деревня); Предоставление спецодежды Социальный пакет: полис добровольного медицинского страхования (через полгода после начала работы), дотация на питание; Уровень заработной платы оговаривается на собеседовании. "
91,"Обязанности:  Организация работы по проекту внедрения автоматизированной системы планирования; Взаимодействие с вендорами, интеграторами, координация всех вопросов в рамках проект, оформление документации; Участие в разработке плана мероприятий, контроль ключевых этапов.  Требования:  Опыт работы в банковской сфере; Опыт работы / управления проектами; Желателен опыт участия во внедрении автоматизированных систем планирования и отчетности (IBM Cognos, Oracle Hyperion).  Мы предлагаем Вам:  Стать частью крупного, динамично развивающегося Банка; Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам; Неограниченные возможности для совершенствования Ваших навыков и знаний, обучаясь у лучших и решая сверхамбициозные задачи; Позитивную рабочую атмосферу, дружный коллектив; Удобное расположение офисов в центре Москвы; Достойную и конкурентную заработную плату, квартальные и годовые премии, размер которых зависит от результатов Вашей работы; Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах. "
92,"Международная компания с представительствами в США, Японии и России создает решение для сверхточного мультилокального таргетинга на базе технологической платформы для взаимодействия мобильных операторов и рекламных площадок. ИЩЕМ СОТРУДНИКА В Г. КАЗАНЬ!!! Обязанности: • управлять серверами, сетями, партнёрскими приложениями высокой доступности, • обеспечивать высокую надёжность и бесперебойность внутренних и внешних систем с целью достижения SLA; • оценивать и улучшать процесс развёртывания; • обеспечивать непрерывность процесса развертывания сред/модулей; • организовывать и обеспечивать стабильный процесс выпуска версий продуктов; • автоматизировать задачи администрирования; • взаимодействовать с разработчиками с целью выявления зависимостей и требований модулей к ресурсам; Требования: Мы ищем кандидатов, которые: • имеют опыт автоматизации процессов сборки с помощью Jenkins, автоматизации процессов CI-CD, автоматизации развертывания с помощью Ansible; • имеют уверенные знания скриптовых языков Python, Bash; • имеют опыт системного администрирования распределенных систем; • имеют опыт развертывания Kubernetes и миграции сервисов в него; • имеют опыт по развертыванию и масштабированию Kafka, HDFS, Postgres, CouchDB и Couchbase; • имеют опыт по автоматизации развертывания и поддержке Linux (Ubuntu, Centos); • возможно владеют знаниями Big Data technologies (Hadoop, Apache Kafka, HBase); • способны общаться на английском языке; • умеют остроумно отвечать на шутки коллег.   Условия: Что мы предлагаем? • конкурентоспособный уровень заработной платы, отсутствие жестких вилок, индивидуальный подход к ожиданиям кандидата; • перспективу быстрого карьерного роста; • невероятно уютный и тихий офис в технопарке в сфере высоких технологий «ИТ-парк» с удобной охраняемой парковкой; • полную медицинскую страховку, включающую в себя услуги 20 клиник города, а также госпитализацию и стоматологию; • крайне талантливый и молодой коллектив, с которым легко сработаться; • организацию питания; • индивидуальные занятия английским языком с преподавателем; • постоянную практику английского языка в процессе общения с иностранными коллегами."
93,"Компания Documentolog является лидером на отечественном рынке автоматизации бизнес-процессов. Мы ищем талантливых специалистов по внедрению и сопровождению нашего программного продукта Documentolog.   Обязанности:  Внедрение программного продукта Анализ и проектирование бизнес-процессов Постановка технических задач программистам Обучение и сопровождение пользователей Разработка технической документации Контроль качества, разрабатываемого программного продукта    Требования:  Высшее образование (ИТ) Основы программирования Основы делопроизводства Аналитические способности Понимание принципов разработки программного обеспечения и работы информационных систем Ответственность, умение грамотно и кратко излагать свои мысли в письменной и устной форме, навыки коммуникаций, стрессоустойчивость, инициативность    Условия:  социальный пакет, включающий бесплатный обед, годовой безлимитный абонемент в фитнес, медицинская страховка + члены семьи, корпоративная мобильная связь, оплачиваемые дополнительные дни отпуска, выплаты на оздоровление и многое другое. хорошие условия работы, офис в деловом центре города. дружный коллектив и оснащённый coffee - room. Пятидневная рабочая неделя, с 9 до 18:30. Возможности перспективного роста "
94,"Отечественный производитель электронных контрольно-измерительных приборов и программного обеспечения для решения задач мониторинга, регистрации и контроля параметров микроклимата ищет инженера-схемотехника.  На рынке более 15-ти лет; Клиенты по всей России и СНГ.  Что предлагаем:  Официальное трудоустройство в штат компании; График работы с 10:00 до 19:00; Белая заработная плата – 60000 руб.; Удобное расположение (район Пионерский);  Чем необходимо будет заниматься:  Разработка схем, трассировка плат; Проведение испытаний и тестирование приборов; Разрабатывать приборы; Контролировать производство; Подбирать комплектующие и аналоги, при необходимости производить ремонт плат (TQFP 64, SOT-23, QFN 64).  Требования:  Умение паять, использовать фен; Желательно высшее образование (радиотехнический и электротехнический институты); Знание одной из программ: Linux или KiCad; Умение пользоваться измерительными приборами (осциллограф, мультиметр, логический анализатор). "
95,"Группа компаний Автомир - это один из крупнейших официальных дилеров на российском автомобильном рынке. На протяжении 25 лет Компания следует девизу «Мир автомобилей для мира людей». ГК Автомир объединяет 43 дилерских центра в Москве, регионах Российской федерации и Казахстане. В нашем дилерском портфеле 18 автомобильных брэндов (Renault, Nissan, Hyundai, KIA, Volkswagen, ŠKODA, Audi, Suzuki, Mazda, Ford, Toyota, Mitsubishi, Infiniti, Peugeot, Datsun, Citroën, Chevrolet и Lada). Приглашаем на работу Руководителя направления BI в Службу автоматизации бизнеса: Обязанности:  руководство изменениями в ПО, постановка задач разработчикам, аналитическая работа; организация технической поддержки ключевых пользователей системы (консультирование, исследование), подготовка и согласование ТЗ, организация тестирования и внедрения изменений; обучение, консультирование технических специалистов; осуществление контроля качества предоставляемых ИТ-услуг, проведение и контроль выполнения мероприятий по улучшению качества предоставляемых услуг; участие в проектах, связанных с обеспечением автоматизации рабочих процессов.  Требования:  образование высшее (техническое, финансовое); опыт работы в сфере ИТ (программист, разработчик, руководитель проекта, аналитик и пр.); опыт поддержки автоматизированных систем и/или наличие успешно завершенных проектов по доработке или внедрению систем автоматизации; знание MS SQL, MS BI (предпочтение кандидатам с опытом разработки); опыт работы в проектах внедрения; хорошее знание пакета MS Office; ответственность, высокая самоорганизация, целеустремленность и самообучаемость; высокая коммуникабельность, умение работать в команде, способность работать в режиме многозадачности, умение планировать, ставить задачи и добиваться их своевременного выполнения.  Вы получаете:  конкурентную заработную плату с прозрачной системой мотивации; официальное трудоустройство с первого дня работы; график работы: 5/2; льготное корпоративное питание; ДМС и корпоративную мобильную связь; скидки на приобретение автомобилей брендов Компании, а также их обслуживание; возможность профессионального развития и карьерного роста; место работы: м. Юго-Западная/ м. Говорово.    Присоединяйтесь к команде профессионалов! Мы ждем Ваши резюме!"
96,"Крутая айти Компания реальных профессионалов, практиков рынка, приглашает в свою команду Системного аналитика. У нас высокий ритм и быстрое принятие решений. Широкие полномочия. Неограниченные возможности роста. Обязанности:  Выявление и анализ требований к ИС; Документирование требований к ИС; Согласование требований с заинтересованными лицами; Консультирование архитектора\ разработчика на этапе проектирования ; Подготовка задач для разработки; Консультирование разработчиков на этапе разработки; Консультирование инженеров по качеству на этапе тестирования; Управление изменениями требований к ИС; Поддержание требований к ИС в актуальном состоянии; Участие в опытно-промышленной эксплуатации реализованных решений.  Требования:  Высшее образование (желательно в сфере информационных технологий); Опыт работы на аналогичной позиции от 1 года; Базовые знания методологий разработки Waterfall, Agile; Опыт использования CASE-средств; Опыт работы с реляционными БД; Базовые знания SQL; Базовые знания UML; Опыт работы в роли разработчика будет плюсом; Умение слушать и слышать; Умение четко и ясно излагать свои мысли; Системное мышление; Ответственность; Стрессоустойчивость; Инициативность; Организационные навыки; Умение работать в команде.  Условия:   Достижение результатов, приносящих видимую всем реальную пользу;   Работу в доброжелательном и дружном коллективе профессионалов;   Достойную оплату вашего труда, плюс премии по результатам реализации проектов;   Интересные и сложные задачи и проекты;   Офис в центре Москвы (ст.метро «Парк Культуры»).     Присылайте ваше резюме!  Готовы обсуждать условия с успешными кандидатами."
97,"Команда ЭлЖур разрабатывает электронный журнал и дневник для школ. Это не просто система учета успеваемости, а сервис для автоматизации повседневной работы школы. C нами работает более 2000 школ по всей России, каждый день они выставляют более 600 тысяч оценок. Среди наших клиентов ведущие школы, гимназии и лицеи РФ: Школа Летово, Школа Сотрудничества, Лицей НИУ ВШЭ, Лицей №1511 при МИФИ, ФизТех Лицей и многие другие. Особенность работы в ЭлЖур - быстрая обратная связь от пользователей. Кроме того, наша команда небольшая, и вклад каждого сотрудника важен и заметен. Мы ищем технического лидера команды, который поможет развивать уже существующую систему и управлять разработкой новых модулей и проектов. Стек технологий - PHP, MySQL. Задачи технического лидера:  Проектирование и разработка модулей системы; Участие в разработке архитектуры системы; Распределение задач между разработчиками; Наставничество; Оптимизация процессов разработки; Code review; Выработка и соблюдение стандартов разработки.  Требования к кандидату:  Опыт разработки на PHP и работы с MySQL (или другими реляционными СУБД); Понимание архитектуры современных фреймворков PHP; Умение грамотно выражать свои мысли и аргументировать свою позицию; Опыт управления командой из 4-8 человек; Кругозор в IT.  Условия работы:  Работа в бизнес-центре (8 минут пешком от м. Красносельская), пн-пт, время начала и окончания работы обсуждаются с руководителем; Оформление по ТК; Возможность работы над быстро изменяющимся и интересным проектом; Испытательный срок до трех месяцев.   "
98,"Группа компаний Остек – крупнейшее в России и странах СНГ инжиниринговое предприятие, предоставляющее комплексные инженерно-консультационные услуги - от проведения аудитов предприятий до отработки технологического процесса на изделиях клиента с последующей технологической поддержкой производства. ООО «Остек-СМТ» (входит в Группу компаний Остек) занимается разработкой и поставкой инновационных решений для автоматизации технологических процессов в области машиностроения и приборостроения. Компания специализируется на поставке и разработке промышленных решений, построенных на передовых технологиях обработки данных, в том числе с использованием машинного обучения, распознавания образов и т.д. В связи с развитием направления программных продуктов открыта вакансия QA инженер / Тестировщик Требования:  Высшее образование (профильное); Опыт работы на аналогичной позиции; Понимание процесса разработки ПО и средств тестирования (виды и методы); Знание языка программирования Python; Владение английским языком на уровне чтения документации.  Обязанности: Участие в проектах по разработке ПО, выполнение функций тестировщика, QA-инженера. Разработка и поддержка инфраструктуры тестирования: Python, Docker, GitLab CI/CD и т. д.  Проверка готового продукта и отдельных компонент на соответствие изначальным требованиям; Проведение интеграционных тестирований; Разработка автотестов; Составление планов тестирования; Постоянное взаимодействие с разработчиками.  Условия:  Работа в успешной компании с 28-летней историей в команде интересных, увлеченных своим делом людей; Современное оборудование и новейшие технологии, собственные разработки компании; Работа с крупными заказчиками по передовым направлениям развития предприятий; Полное соблюдение трудового законодательства РФ; Конкурентный уровень дохода, учитывающий опыт и квалификацию, премии за положительные результаты работы (уровень дохода обсуждается на интервью с руководителем); Программы обучения, профессионального и карьерного роста; ДМС после успешного окончания испытательного срока; Гибкий график работы: начало работы с 8.00 до 10.00, окончание – пропорционально 8-часовому рабочему дню; Современный офис в шаговой доступности от м. Строгино. "
99,"Функциональные обязанности:  участие в задачах развития, внедрения, оптимизации корпоративного хранилищ данных и систем отчетности; проектирование архитектуры и модели данных корпоративного хранилища данных SAP BW; реализация интеграционных решений для SAP BI; построение отчётов (разработка входных и выходных форм отчетности в виде таблиц, графиков и прочее с помощью инструментов SAP BI (SAP Bex Analyzer, SAP BO); разработка проектной документации (функциональных требований и технических заданий, программы-методики тестирования, тестовые примеры, протоколы испытаний и т.д.).    Требования:  высшее образование (техническое/экономическое); опыт участия в проектах (полный цикл) разработки и внедрения систем аналитической отчетности и хранилищ данных; совокупный опыт работы в области BI не менее 2 лет, опыт поддержки и развития BI-систем; отличные знания инструментов построения отчетности Bex Analyzer, SAP BO; знание принципов проектирования хранилищ данных, систем отчетности на базе SAP BW; опыт интеграции SAP BW с различными информационными системами; знание ABAP для BW (настройка трансформаций, переменных, расширение экстракторов); практический опыт работы, знания и навыки в области SAP BW on HANA; аналитический склад ума, ответственность, коммуникабельность, умение работать в команде.     "
100,"Обязанности:   Разработка решения по автоматизации с использованием технологии RPA (Robotic Process Automation);   Участие в проектах по автоматизации;  Составление функциональных схем.     Требования:  Высшее профессиональное образование, техническое / математическое направление; Опыт работы в данной должности не менее 1 года.  Необходимые знания и навыки:  Глубокие знания в области RPA; Опыт разработки RPA решений; Знание C# / VB.NET  Условия:  5-ти дневная рабочая неделя, с 8.00 до 17.00; заработная плата = оклад + премия; трудоустройство по ТК РФ; ДМС, социальные льготы; офис в районе пл.им.Куйбышева. "
101,"Аптечная сеть &quot;Гармония здоровья&quot; занимает лидирующие позиции на рынке Красноярского края.Мы открываем конкурс на должность разработчика программного обеспечения. Обязанности: • Разработка корпоративной информационной системы на платформе .NET C# c использованием MS SQL Server• Оптимизация конфигурации серверного оборудования• Тестирование и внедрение программных средств.• Подготовка документации и обучение сотрудников работе программным обеспечением.• Разработка приложений С#• Администрирование баз данных.• Оптимизация работы MS SQL Server.• Работа с большим объемом данных. Требования: • Законченное высшее образование.• Опыт разработки на платформе .NET С# WPF, WCF от 1,5 лет• Глубокое знание T-SQL, опыт разработки структуры баз данных, понимание принципов работы MS SQL Server.• Знание и опыт в разработке многопоточных приложений.• Умение профессионально и грамотно донести информацию до пользователя.• Плюсами будут: Опыт работы в торговой сети, знание MS Analysis Services. Условия: • Разработка и реализация масштабных проектов • Высокая заработная плата. Определяется по результатам собеседования. • Тренинги и другое корпоративное обучение • Официальное трудоустройство с соблюдением всех гарантий по ТК РФ (оплачиваемый отпуск 36 календарных дней и т.д)"
102,"Мы продолжаем расширять нашу техническую команду. Мы гордимся, что работаем рядом с лучшими профессионалами отрасли и вкладываем в дело душу, сердце и позитивные эмоции. Если это созвучно тебе – дай о себе знать! Мы предлагаем:  Команду единомышленников, которой важно создавать удобный, качественный и инновационный продукт Влиять на процессы внутри Компании. Мы рады твоим полезным идеям! Все, что нужно для комфортной работы: достойную заработную плату, медицинскую страховку, официальное трудоустройство, компенсацию мобильной связи, обучение.  Задачи для тебя:  Обеспечение развития и работоспособности ИТ-продуктов в зоне ответственности, Организация процесса производства и технического сопровождения ПО, Управление внутренними и внешними командами. Обеспечить доступность ИТ-продуктов, обеспечить реализацию нового функционала, согласно потребности бизнес-заказчиков.  Требования:    Знания:Team Менеджмент, Time Менеджмент, Vendor Менеджмент, ITIL/ITSM, Проектные методологии, Гибкие методологии разработки ПО Технический бэкграунд: опыт работы в ИТ-сфере от 3 лет в роли технического специалиста (поддержка/архитектура/разработка/тестирование) Опыт управления командой производства ПО от 1 года. Знание стека технологий: Oracle DB, сервера приложений Java Уровень английского – базовый, для изучения документации  Вашим преимуществом, будет опыт работы с:  Опыт работы в Телекоме или банковской сфере от 5 лет знания в области проектного управления, понимание всех аспектов и областей знаний этого управления, знание основных методологий и походов. Способность структурировано и четко выражать свои мысли. Высокая степень самоорганизованности. Умение управлять проектами в условиях неопределенности, меняющихся требований. Опыт работы с ПО Atlassian для организации процессов: jira, Confluence   "
103,"Обязанности:  Сборка ПК Установка и настройка ПО Организация рабочего места сотрудника Монтаж СКС Администрирование локальных сетей Оказание помощи пользователям в освоении нового оборудования и ПО  Требования:   Исполнителен.   Стрессоустойчив.   Базовые знания в IT   Знание компьютерного &quot;железа&quot;   Опыт работы с офисными приложениями (MS Word, Excel, Outlook); Опыт монтажа локальных сетей.   Выезд на объекты компании по г. Москва   "
104,"Naumen – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге».Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры.Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании.* ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT-работодателей России (по версии HeadHunter). Мы – команда-разработчик роботизированных систем и систем, которые упрощают диалог между бизнесом и обычными людьми. Мы ищем в свою команду внедрения талантливого руководителя проектов (пусть даже начинающего), который смог бы в условиях динамично изменяющихся требований и бурного роста прогресса, угадывать желания наших клиентов и помогать нести в этот мир технологии будущего! Если ты получил неплохое образование и/или опыт технического или аналитического профиля, если ты в душе математик, но с чувством прекрасного и у тебя есть представление, что такое информационные системы и ты не пугаешься слов Linux и agile, а также готов рассказывать людям, почему будущее – это круто, то ты нужен нам! От тебя требуется погружение в тематику контактных центров, диалоговых систем, а также современных технологий распознавания речи, синтеза речи, методик машинного обучения. Мы ждём, что ты будешь заниматься не только административной стороной проекта, но ещё и станешь связующим звеном между бизнесом и техническими специалистами (аналитики, инженеры внедрения, программисты). Обязанности:  управление проектами внедрения роботизированных систем (чат-боты, голосовые роботы); управление проектами по внедрению ПО для контактных центров; участие в развитии внедрённых систем у заказчиков.  Требования:  обязателен стабильный опыт участия в проектах внедрения или разработки ПО в качестве аналитика/ инженера/ руководителя проектов более года; обязателен опыт разработки технических заданий, спецификаций, постановок задач; высшее техническое образование, желательно в сфере IT; хороший технический бэкграунд, способность быстро осваивать новые предметные области, системность мышления; аналитический склад ума, способность находить общий язык с техническим персоналом и бизнес-заказчиками; организаторские способности; понимание принципов ведения проектов: waterfall, agile.    Приветствуется:  опыт работы с технологиями распознавания и синтеза речи; опыт работы с роботизированными сервисами; опыт внедрения ПО для контактных центров; хорошее чувство юмора)    В Naumen мы создали все условия для продуктивной и интересной работы:  индивидуально обсуждаем с каждым кандидатом зарплатные ожидания; лояльный график работы и минимум бюрократии; работа в команде профессионалов в атмосфере взаимопомощи и поддержки; реальная возможность влиять на развитие и качество продукта; возможность профессионального обучения за счет компании; мы поддерживаем развитие ИТ-сообщества и обмен опытом: участвуем во внешних и внутренних конференциях не только в качестве слушателя, но и в качестве спикера, обучаем школьников и студентов программированию, проводим собственные образовательные программы; практикуем индивидуальное планирование карьеры, Performance Review 2 раза в год (80% ключевых сотрудников компании выросли внутри Naumen); заботимся о здоровье наших сотрудников:  ДМС сразу после испытательного срока: посещение специалистов в лучших поликлиниках и стоматологиях города, вызов врача на дом, госпитализация, телемедицина; полис выезжающих за рубеж (покрытие весь мир); вакцинация от гриппа;   насыщенная корпоративная жизнь компании: яркие корпоративы, поздравления с календарными и профессиональными праздниками. Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год; поддерживаем любовь к спорту: возможна частичная компенсация занятий спортом, компенсация аренды футбольного зала в размере 50 %, проходят занятия по мини-футболу, есть спортивная зона с кикером; современный и комфортный офис в центре (м. Пролетарская/ м. Крестьянская застава в 5 минутах ходьбы). Уютные зоны отдыха и питания для сотрудников на каждом этаже, лаунж-зона на крыше с видом на город. "
105,"Обязанности:  Разработка и доработка конфигураций 1С УТ 11, УТ 10.3, Бухгалтерия 3.0 и 2.0, УПП, ERP под бизнес процессы компании Поддержка конфигураций 1С  Требования:  Высшее техническое образование, ИТ Знание основных типовых конфигураций 1С Опыт работы не менее 1-1,5 года  Условия:  Место работы: м. Павелецкая График работы 5/2 с 9:00 до 18:00 Официальное трудоустройство в штат компании, соцпакет согласно ТК РФ Белая заработная плата, выплачивается 2 раза в месяц Профессиональное развитие в крупнейшем российском производственно-торговом холдинге "
