Number;"1.274 requirements"
55;"Широкий технический кругозор: знание основных продуктов и решений на рынке it (вычислительная и сетевая инфраструктура, схд, иб, облачные сервисы, виртуализация, devops, развёртывание и поддержка сред, программные инфраструктурные решения, решения в области управления и мониторинга;"
56;"Опыт работы продакт-менеджером от 3-ех лет, действующий продукт - web-решение или платформа-агрегатор."
57;"Разработка и согласование концепции, цели и основных этапов проектам ( национальная система маркировки и прослеживаемости товаров) ;"
58;"Реализация проекта в согласованные сроки, в рамках выделенного бюджета и с требуемым уровнем качества;"
59;"Ведение документации по проектам;"
60;"Разработка методических документов, материалов для представления в федеральные органы исполнительной власти;"
61;"Оперативное и стратегическое планирование реализации проекта создания по;."
62;"Определение возможности использования готовых программных продуктов;"
63;"Подготовка и проведение презентаций;"
64;"Подготовка и внесение изменений в проекты;"
65;"Подготовка и систематическое ведение отчетных документов о работе проекта: протоколов встреч, реестров задач, справок для руководства, пр;"
66;"Выявление рисков, грозящих проекту, организация мероприятий по их устранению или минимизации влияния;"
67;"Контроль выполнения задач внешними и внутренними участниками проекта."
68;"подтвержденный опыт участия в создании и/или развитии крупных инженерных или it-проектов, приветствуется опыт руководства такими проектами или отдельными направлениями таких проектов; "
69;"умение структурирования и систематизации больших объемов информации; "
70;"опыт проведения встреч на уровне вторых лиц международных компаний; "
71;"опыт в подготовке отчетных документов, понимание правил и опыт ведения документооборота; "
72;"грамотная устная и письменная речь; "
73;"приветствуется знание английского языка; "
74;"приветствуются знания методологий проектирования и разработки по; "
75;"приветствуются знания методологии финансового и бухгалтерского учета, налогового учета, производственного учета, процессов бюджетирования; "
76;"приветствуются знания логистических и товарных операций. "
77;"Взаимодействие с бизнес пользователями, функциональными заказчиками, сбор требований на автоматизацию бизнес-процессов."
78;"Анализ требований, принятие решений о технической реализации требований. оценка технической реализации требований, предлагаемой подрядчиками."
79;"Проработка технических решений и оценка влияния планируемых изменений ит архитектуры на действующие информационные системы."
80;"Формирование функциональных требований, запросов на изменения, постановка задачи разработчикам."
81;"Оценка и утверждение трудоемкости разработок, сроков разработки с учетом необходимости доработки смежных компонент и их резервирования."
82;"Контроль соблюдения правил разработки, критериев оценки качества работы подрядчиков, методик оценки трудозатрат по своему направлению."
83;"Контроль качества выполнения разработок внешними подрядчиками в рамках управления изменениями и внедрения новых решений."
84;"Участие в тестировании, приемо-сдаточных испытаниях (нагрузочных, регрессионных тестированиях)."
85;"Разбор технических проблем, которые не смогли быть решены в рамках стандартных процедур. участие в расследовании критических инцидентов, поиск корневых проблем. контроль их устранения."
86;"Высшее техническое или инженерное образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа."
87;"Процессов управления архитектурой и контроля качества внедрения информационных систем."
88;"Основных механизмов платформы 1с предприятие 8.3."
89;"Бизнес-процессов инжиниринговых, строительных компаний."
90;"Методологии idef, epc, uml, bpmn 2.0."
91;"Управления требованиями."
92;"Формирование требований к автоматизации бизнес-процессов строительных компаний."
93;"Исследования и анализа данных."
94;"Моделирования процессов."
95;"Проектирования ис."
96;"Управления тестированием и внедрением."
97;"Разработки пользовательских инструкций."
98;"Практический опыт внедрения систем управления на базе платформы 1с в строительных компаниях."
99;"Блоки учета: строительство, складская логистика, транспортная логистика, регламентированный и управленческий учет."
100;"Формирования требований к автоматизации бизнес-процессов строительных или проектных организаций."
101;"Моделирования и реинжиниринга бизнес-процессов."
102;"Деловые коммуникации с функциональными заказчиками и ит подрядчиками."
103;"Обязательн.о: word, excel, powerpoint и visio."
104;"Работа в распределенной команде."
105;"Опыт работы с rabbit q / kafka"
106;"Проведение custdev-ов с клиентами россии, снг и целевых иностранных рынков"
107;"анализ рынка, работа с участниками рынка (бизнес, агентства, студии) "
108;"работа с гипотезами: формулировка, валидация. "
109;"описание функциональных требований "
110;"Управление бэклогом"
111;"Исследования конкурентов"
112;"Разработка стратегии позиционирования и маркетинга продукта"
113;"Аналитика и отслеживание показателей в ежемесячном режиме"
114;"Общение с партнерами, проектное управление"
115;"Опыт успешного управления продуктом;"
116;"Опыт работы в облачном сервисе, команде занимающейся веб-разработкой или разработкой игр;"
117;"Представление о crm маркетинге: бизнес-процессах, сервисах"
118;"Знание технологий и продуктов для web, мобильного web;"
119;"Владение инструментами веб-аналитики;"
120;"Внимательность к деталям;"
121;"Аналитический склад ума;"
122;"Умения смотреть на вещи глазами других людей;"
123;"Коммуникабельность, умение построить рабочие отношения с разными людьми;"
124;"Управление группами инженеров в области системного администрирования и телекоммуникаций"
125;"Управление сервисами в области системного администрирования и телекоммуникаций"
126;"Управление проблемами и инцидентами в рамка всех линий поддержки"
127;"Оптимизация затрат на оборудование и лицензии"
128;"Планирование и контроль исполнения бюджета отдела"
129;"Планирование и контроль исполнения бюджета фот отдела"
130;"Взаимодействие с сотрудниками офиса и удаленных подразделений"
131;"Взаимодействие с поставщиками ит-услуг и сетевого оборудования"
132;"Опыт работы в аналогичной должности от 3-х лет"
133;"Высшее техническое образование"
134;"Уверенные навыки и знания в области проектирования и создания локальных вычислительных сетей (лвс)"
135;"Уверенные навыки и знания в области системного администрирования и управления сетями"
136;"Опыт работы с различными средствами мониторинга работы сетей и серверного оборудования"
137;"Знание принципов работы протоколов tcp/ip"
138;"Знание принципов построения беспроводных локальных вычислительных сетей (wi-fi)"
139;"Знание принципов работы ip телефонии"
140;"Знания принципов обеспечения информационной безопасности"
141;"Разработчик front-end на языке vuejs проектов компании"
142;"Понимание как всё работает;"
143;"Знание html, scss, javascript;"
144;"Умение работать с jquery;"
145;"Знание технологии ajax, rest"
146;"Создание и доработка компонентов системы автоматизированного проектирования (сапр/cad)."
147;"Опыт разработки приложений на c++/mfc или c#/winforms"
148;"Технический английский на уровне чтения документации"
149;"Высшее техническое образование"
150;"Опыт работы руководителем ит-инфраструктуры от 3х лет"
151;"Опыт администрирования платформы windows от 3х лет"
152;"Участие в проекте внедрения (и последующего сопровождения) 1с:бухгалтерия государственного учреждения;"
153;"Анализ предметной области (сбор требований);"
154;"Описание бизнес-процессов («as-is», «to bе»);"
155;"Разработка технических заданий (требований);"
156;"Проведение тестирования;"
157;"Участие в переносе данных из текущей системы учета;"
158;"Обучение пользователей."
159;"Высшее образование (экономическое);"
160;"Знание предметной области (практический опыт обязательно);"
161;"Значение нормативно-правовых актов по функциональному направлению;"
162;"Опыт работы бизнес-аналитиком на проектах внедрения 1с: бухгалтерия государственного учреждения;"
163;"Знание всех участков учета и отчетности государственного учреждения;"
164;"Умение описывать технические требования для необходимой доработки системы;"
165;"Оформление всей требуемой проектной документации."
166;"Контроль проведения работ по бесперебойной и технически правильной эксплуатации и техническому обслуживанию средств комплексной автоматизации, контрольно-измерительных приборов, сопровождением программного обеспечения асутп, систем противопожарной защиты."
167;"Участие в приемочных испытаниях, комплексном опробовании объектов, завершенных капитальным строительством, контроль пуско-наладочных работ в части систем автоматизации, систем противопожарной защиты."
168;"Анализ причин отказов асутп, систем противопожарной защиты."
169;"Обеспечение ведения статистической отчетности по автоматизированным системам в зоне своей ответственности."
170;"Выполнение требований законодательных и иных нормативных правовых актов рф, контроль соблюдения лнд компании и общества в области асутп и кип."
171;"Высшее образование по направлению асу тп."
172;"Опыт работы по направлению деятельности не менее 3-х лет."
173;"Знание видов программного обеспечения асутп."
174;"Знание архитектуры и принципов построения и работы систем асутп."
175;"Знание промышленных сетей и протоколов передачи данных."
176;"Опыт работы с приборами кипиа различных производителей."
177;"Внутренний аудит, юзабилити-аудит."
178;"Поиск и устранение ошибок, негативно влияющих на дальнейшее продвижение и конверсии."
179;"Формирование стратегии продвижения проекта."
180;"Сбор и кластеризация семантического ядра запросов."
181;"Оптимизация существующих страниц под поисковые запросы, форматирование текстов и мета-тегов."
182;"Внутренняя перелинковка страниц сайта с целью корректного распределения ссылочного веса."
183;"Работа с sape, seopult."
184;"Опыт сео оптимизации сайтов с доведением до результата обязателен."
185;"Выполнение тестового задания обязательно."
186;"Разработка проектов в части программного, информационного и математического обеспечения;"
187;"Программирование контроллеров, scada, частотных преобразователей;"
188;"Составление спецификаций шкафного оборудования автоматизации, проектирование шкафов автоматизации;"
189;"Подбор периферийного оборудования;"
190;"Наладка, запуск и сопровождение разрабатываемого программного обеспечения;"
191;"Написание эксплуатационной документации."
192;"Опыт работы инженером по автоматизации на производственных предприятиях или в электромонтажных компаниях, исследовательских институтах, инженером программистом, асу тп и пр. (иностранные производители) – от 2 лет;"
193;"Умение применять на практике языки программирования контроллеров в стандарте iec 61131-3 (контроллеры: siemens, allen-bradley, honeywell и пр. );"
194;"Знание архитектур компьютерных сетей, знание протоколов передачи данных: industrial ethernet, modbus, profibus-dp и пр.;"
195;"Умение читать и редактировать электрические схемы;"
196;"Опыт внедрения и поддержки проектов по автоматизации."
197;"Определение системы метрик и целевых показателей бизнес-процессов;"
198;"Изучение и реинжиниринг бизнес-процессов;"
199;"Разработка и обеспечение процесса согласования процессной документации;"
200;"Подготовка и презентация материалов по предлагаемым изменениям в бизнес-процессах;"
201;"Обучение пользователей и сопровождение внедряемых изменений со стороны процессной команды;"
202;"Участие в разработке функциональных требований к информационным системам;"
203;"Участие во внедрение erp системы в рамках своей компетенции."
204;"Теоретические и практические навыки документирования и реинжиниринга бизнес-процессов;"
205;"Умение составлять и обеспечивать согласование процессной документации (схемы и описание бизнес-процессов, операционные инструкции, регламенты взаимодействия и пр.);"
206;"Знание областей: складская логистика, транспортная логистика, цепочки поставки, контрактование;"
207;"Опыт работы с 1с и системой erp класса."
208;"Обеспечение сроков выполнения плана программы;"
209;"Обеспечение соблюдения стоимостных характеристик программы;"
210;"Анализ стратегии развития программы и контроль ее внедрения;"
211;"Анализ вариантов изменений в программе нацеленных на достижение бизнес-показателей: прогноз и оценка успеха;"
212;"Осуществление контроля исполнения дорожной карты программы, своевременное реагирование на потенциальные зоны риска;"
213;"Анализ текущих бизнес процессов (как внутренних, так и внешних) и их оптимизация."
214;"Высшее техническое (техническое, экономическое, менеджмент);"
215;"Релевантный опыт работы от 5 лет;"
216;"Опыт управления программа проектов в иб и/или ит сфере"
217;"Доработка стандартной и разработка новой функциональности системы киас (pl/sql oracle)."
218;"Анализ технических требований к системе;"
219;"Тестирование разрабатываемой функциональности;"
220;"Поддержка текущих процессов."
221;"Выполняет работу по проектированию и внедрению автоматизированных систем управления производством (асуп) на основе применения совокупности экономико-математических методов, современных средств вычислительной техники, коммуникаций и связи, элементов теории экономической кибернетики."
222;"Осуществляет подготовку необходимых данных и участвует в составлении технического задания на проектирование асуп и ее отдельных этапов и подсистем, в разработке технических и рабочих проектов."
223;"Формулирует постановку задач, выполняет работу по их алгоритмизации, выявляет возможности типизации решений отдельных элементов системы, подготавливает предложения о применении в проектировании асуп типовых блоков и участвует в их создании."
224;"Принимает участие в работе по совершенствованию документооборота на предприятии, формулирует требования к содержанию и построению технической и организационно-распорядительной документации, используемой в системе автоматизированного управления производством."
225;"Принимает участие в проектах по информатизации информационных технологий , таких как : умный город, умная больница."
226;"Разрабатывает технологические схемы обработки информации по установленным задачам асуп с учетом организационного и технического обеспечения по всем подсистемам."
227;"Подготавливает проекты методических материалов, инструкций и другой технической документации, связанной с созданием и использованием фондов информационного использования асуп."
228;"Участвует в работе по отладке, опытной эксплуатации и поэтапному введению в действие комплекса технических средств асуп."
229;"Осуществляет авторский надзор и периодический контроль входящей и исходящей документации."
230;"Изучает причины отказов и нарушений в системе, разрабатывает предложения по их устранению и предупреждению, по повышению качества и надежности асуп"
231;"Высшее образование по специальности."
232;"Должен знать:"
233;"Задачи и содержание асуп;"
234;"Порядок разработки проектов асуп и ее подсистем, технических заданий, технических и рабочих проектов;"
235;"Экономико-математические методы;"
236;"Основы теории экономической кибернетики;"
237;"Средства вычислительной техники, коммуникаций и связи;"
238;"Порядок постановки задач, их алгоритмизации;"
239;"Методы определения экономической эффективности внедрения асуп;"
240;"Стандарты унифицированной системы организационно-распорядительной документации;"
241;"Порядок разработки и оформления технической документации;"
242;"Опыт работы в проектировании в нефтегазовой отрасли от 5 лет;"
243;"Умение рассматривать проектные спецификации, административные и технические методы ведения работ, инструкции по проектированию, генпланы, технологические схемы и информацию поставщика;"
244;"Принимать участие в разработке инженерных смет по определенному объему работ для рассмотрения старшим или ведущим инженером;"
245;"Умение выполнять схемы, используя электротехнические спецификации, стандартные чертежи, инструкции по проектированию, генпланы, технологические схемы и информацию поставщиков;"
246;"Рассматривать и давать комментарии к проектным чертежам других отделов и чертежам оборудования поставщика;"
247;"Представлять отчеты о состоянии документации и о прогрессе работ;"
248;"Участие в совещаниях с представителями заказчика, эксплуатации, согласование проектных решений. ведение переписки с заказчиком и поставщиками оборудования;"
249;"На назначенных строительных участках обеспечивать поддержку строительства путём разъяснения чертежей и спецификаций и вносить изменения в проект, принимает участие в выполнении работ по съёмке строительных площадок, проведении измерений, принятии актов сдачи-приёмки и других инженерных видов работ на строительном участке;"
250;"Содействовать младшему инженеру - проектировщику, дизайнеру в приобретении необходимого опыта;"
251;"Знание английского языка."
252;"Развитие проектов компании (web и mobile);"
253;"Разработка концепции и реализация дизайна пользовательских интерфейсов;"
254;"Разработка креативных концепций дизайна сайта и целевых страниц;"
255;"Разработка айдентики, инфографики, анимации;"
256;"Отрисовка макетов и графических элементов интерфейса;"
257;"Разработка прототипов и проработка сценариев использования."
258;"Опыт проектирования пользовательских интерфейсов (ui) от 2 лет;"
259;"Наличие портфолио с публичными реализованными проектами;"
260;"Знание трендов/ &quot;насмотренность&quot;;"
261;"Понимание, что такое хорошая композиция, аккуратная верстка иудобный интерфейс;"
262;"Умение проектирования и реализации сложных интерфейсов взаимодействия с пользователями в вебе и на мобильных устройствах;"
263;"Опыт работы в figma (обязательно),zeplin, adobe cc (желательно),плюсом будет (!!!) опыт работы в axure;"
264;"Опыт работы в jira и confluence;"
265;"Понимание принципов хорошего ux;"
266;"Понимание принципов современной разработки веб-приложений (компонентная архитектура )."
267;"Высшее техническое образование инженера кипиа."
268;"Опыт работы проектирования в нефтегазовой отрасли от 1-2 лет."
269;"Знание норм и стандартов рк."
270;"Уверенное владение autocad, 3d и ms office."
271;"Опыт участия в инфраструктурных проектах."
272;"Знание английского языка."
273;"Широкий технический кругозор: знание основных продуктов и решений на рынке it (вычислительная и сетевая инфраструктура, схд, san, срк, иб, облачные сервисы, программные инфраструктурные решения, решения в области управления и мониторинга, инженерная инфраструктура и т.д.);"
274;"Опыт проектирования и эксплуатации системной инфраструктуры;"
275;"Опыт разработки стандартов проектирования системной инфраструктуры;"
276;"Опыт разработки и оценки технических заданий, регламентов, стандартов, норм, правил, инструкций, спецификаций;"
277;"Опыт оценки технических рисков, связанных с проектированием системной инфраструктуры;"
278;"Знания и практический опыт по построению и администрированию решений на базе платформ ibm aix, red hat enterprise linux, ms windows server и архитектур power, x86."
279;"Конфигурирование оборудования/сервера после обновления по, ремонта, замены контроллеров;"
280;"Взаимодействие с инженером по ремонтам;"
281;"Взаимодействие с диспетчерами."
282;"Высшее техническое образование в области асу тп"
283;"Общая компьютерная грамотность, знание офисных пакетов"
284;"Понимание принципов автоматизации технологических процессов, знание основ программирования."
285;"Высшее образование (it/экономическое)"
286;"опыт работы на аналогичной должности не менее 3-х лет. преимуществом будет являться наличие опыта работы на проектах машиностроения."
287;"Продвинутый пользователь пк, пакета ms office"
288;"Английский – чтение технической документации без словаря"
289;"Обучение пользователей;"
290;"Подготовка и настройка программного обеспечение;"
291;"Подготовка аналитических отчетов о качестве работы;"
292;"Контроль исполнения поставленных задач региональным сотрудникам."
293;"Коммуникабельность,"
294;"Уверенный пользователь пк и знание основ систем наладки;"
295;"Навыки работы с power point, photoshop"
296;"Приветствуются навыки программирования и работы с mysql"
297;"Управление назначенными проектами в сфере коммерческой деятельности;"
298;"Описание и оптимизация бизнес-процессов;"
299;"Написание технических заданий на основе требований бизнеса, способствующих оптимизации и автоматизации процессов;"
300;"Взаимодействие и консультация разработчиков по процессам;"
301;"Осуществление изменений в ис на соответствие требованиям;"
302;"Контроль и сопровождение внедрения ис и новых процессов;"
303;"Взаимодействие с сотрудниками бизнес-подразделений по возможностям автоматизации и оптимизации процессов;"
304;"Создание необходимой документации по проектам и процессам."
305;"Высшее математическое или экономическое образование;"
306;"Знание стек технологий microsoft (включая sql, framework .net, office, exchange и т.д.), itil, itsm, шаблоны проектирования, методологии ведения проектов и описания процессов;"
307;"Знать предметную области: коммерция (ценообразование, работа с поставщиками, документооборот, управление ассортиментом), финансы, бухгалтерия."
