;Required skill
314;консультирование клиентов по всему ассортименту магазина(компьютерной цифровой и бытовой техники) ;8
315;консультирование покупателей и оформление продажи;8
316;активность коммуникабельность умение работать в команде нацеленность на рост и развитие;8
317;телефонные продажи;7
318;стратегическое мышление;7
319;продвижение бренда;7
320;бухгалтерский учет;7
321;управленческая отчетность;7
322;разработка регламентов;7
323;компас-3d;7
324;sap erp;7
325;усидчивость;7
326;работа с ключевыми клиентами;7
327;публичные выступления;7
328;асу тп;7
329;взаимодействие с контрольными органами;7
330;организация рабочих мест;7
331;проектирование зданий и сооружений;7
332;работа с документами;7
333;пожарная безопасность;7
334;консультативные продажи;7
335;отчетность;7
336;математика;7
337;внимательность к деталям;7
338;высшее техническое образование ;7
339;установка и настройка программного обеспечения;7
340;самостоятельность;7
341;осуществление контроля за ходом строительства реконструкции объектов нового строительства и их соответствия требованиям технических регламентов утвержденной проектной документации рабочим чертежам строительным нормам применяемыми строительными материалами;7
342;фиксирование и оформление нарушений выявленных в результате проведения проверок доведение их до заказчика и генерального подрядчика;7
343;контроль устранения нарушений и дефектов выявленных в процессе проведения предыдущих проверок;7
344;анализ результатов проверок объектов нового строительства и оценка их готовности к приемке в эксплуатацию;7
345;участие в приемке объектов нового строительства (реконструкции) в эксплуатацию по видам выполненных работ и в комплексной приемке;7
346;проверка исполнительной документации представляемой подрядными организациями по видам выполненных работ;7
347;оценка возможности подписания актов в том числе акта приемки объекта капитального строительства;7
348;осуществление контроля за переводом зданий-новостроек на постоянные источники энергообеспечения (заключение постоянных договоров электро- тепло и водоснабжения между образовательными и ресурсоснабжающими организациями);7
349;совместно с сотрудниками отдела гарантийного сопровождения принимает участие в определении причин появившихся в процессе эксплуатации нарушений и дефектов и их влияния на дальнейшую эксплуатацию новостроек;7
350;опыт аналогичной работы не менее 5 лет;7
351;знание законодательства и иных нормативно-правовых актов регулирующих деятельность в сфере строительства постоянный мониторинг изменений законодательства;7
352;опыт работы в системе электронного документооборота;7
353;пк на уровне продвинутого пользователя;7
354;навыки ведения переговоров;7
355;демонстрация товара проверка его работоспособности и выдача товара клиентам;7
356;приветствуется знание цифровой компьютерной или бытовой техники;7
357;опыт работы в розничной торговле послужит преимуществом;7
358;управление затратами;6
359;управление разработкой;6
360;управленческое консультирование;6
361;ms crm;6
362;функциональное тестирование;6
363;ios;6
364;erp systems;6
365;электронная почта;6
366;ui;6
367;тестирование пользовательского интерфейса;6
368;управление интернет-проектами;6
369;организация мероприятий;6
370;1с: торговля и склад;6
371;jquery;6
372;системы пожарной безопасности;6
373;idef;6
374;управленческий учет;6
375;графический дизайн;6
376;ориентация на клиента;6
377;материальная ответственность;6
378;spring framework;6
379;hibernate orm;6
380;безопасность;6
381;логистика поставок;6
382;техническая эксплуатация;6
383;прием и распределение телефонных звонков;6
384;matlab;6
385;сопровождение строительства;6
386;навыки составления отчетности;6
387;дизайн интерьера;6
388;ремонтные работы;6
389;подготовка документов для участия в тендерах;6
390;работа с клиентами;6
391;бюджетирование закупок;6
392;опыт программирования на платформе 1с 8х от 3х лет;6
393;базовые знания бизнес-процессов розничного бизнеса;6
394;техническая поддержка пользователей;6
395;образование высшее техническое;6
396;желание развиваться;6
397;желание работать;6
398;образование высшее;6
399;среднетехническое профессиональное образование;6
400;в компании развит корпоративный спорт так же все желающие сотрудники могут принять участие в ежегодной спартакиаде «ростелеком»;6
401;«портал идей» - вы можете внести идею для повышения эффективности работы компании;6
402;быть увлеченным своей деятельностью;6
403;захватывающе рассказывать о том что предлагаете;6
404;иметь азарт в продажах;6
405;заботиться о потребностях клиента;6
406;меняться самому и изменять мир к лучшему учиться и учить;6
407;превращать собеседников в покупателей;6
408;быть успешным: трудиться и много зарабатывать получать признание коллег;6
409;брать ответственность: контролировать положение дел по договору и дебиторской задолженности;6
410;формировать и растить свою команду;6
411;бесплатное питание: вкусные обеды кофе и конфеты к чаю;6
412;подключение услуг компании: интернет и цифровое tv по технологиям хdsl fttх телефония;6
413;обучаемость способность к работе с большим объемом информации;6
414;умение вести переговоры;6
415;работать с кассой и вести внутреннюю отчетность;6
416;продажа услуг сотового оператора мтс мобильных телефонов аксессуаров и портативной цифровой техники ;6
417;прием платежей денежные переводы оформление кредитов ;6
418;обслуживание абонентов мтс ;6
419;желание получить опыт в лидирующей компании среди операторской розницы ;6
420;стать частью молодой и яркой команды профессионалов ;6
421;быть гидом для наших клиентов в мир цифровой техники ;6
422;seo;5
423;adobe indesign;5
424;разработка инструкций;5
425;проектирование пользовательских интерфейсов;5
426;ux;5
427;тайм-менеджмент;5
428;составление смет;5
429;сэд;5
430;первичная бухгалтерская документация;5
431;css3;5
432;rabbitmq;5
433;1с: производство;5
434;windows vista;5
435;java se;5
436;финансовое планирование;5
437;финансовый анализ;5
438;системная интеграция;5
439;корпоративная этика;5
440;знание 1с;5
441;c/c++;5
442;пуско-наладочные работы;5
443;системный подход;5
444;средства криптографической защиты информации;5
445;microsoft access;5
446;ведение активных клиентов;5
447;финансовая отчетность;5
448;java ee;5
449;windows server 2008 r2;5
450;схемотехника электронного оборудования;5
451;pascal;5
452;аккуратность;5
453;мониторинг рынка;5
454;претензионная работа;5
455;react;5
456;negotiation skills;5
457;business english;5
458;честность;5
459;itsm;5
460;работа с юридическими лицами;5
461;договоры подряда;5
462;договоры поставки;5
463;adobe acrobat;5
464;технический надзор;5
465;управление производственным персоналом;5
466;охрана труда и техника безопасности;5
467;агентские продажи;5
468;трудолюбие;5
469;ведение переписки;5
470;проверка контрагентов;5
471;умение принимать решения;5
472;технический склад ума;5
473;групповое обучение;5
474;опыт разработки на управляемых формах;5
475;продвинутый пользователь пк;5
476;желание работать в команде;5
477;навыки планирования;5
478;аналитический склад ума ;5
479;грамотная устная и письменная речь ;5
480;заправка картриджей;5
481;выполнение регламентных работ;5
482;техническая грамотность;5
483;отличные коммуникативные навыки;5
484;навыки ведения деловой переписки;5
485;профильное образование;5
486;умение работать с большими объемами информации;5
487;профильное высшее образование;5
488;знание autocad;5
489;наличие квалификационного удостоверения официальный опыт работы от 3-х лет;5
490;знание пк;5
491;уверенное владение пк;5
492;навыки делового общения ведения переговоров;5
493;опыт работы в аналогичной должности;5
494;контроль соблюдения режима на охраняемом объекте предотвращение хищений;5
495;обеспечение безопасности работников и посетителей на территории охраняемого объекта пресечение конфликтных ситуаций;5
496;рассматриваем кандидатов с опытом и без опыта работы;5
497;возможно без улчо;5
498;аккуратность ответственность желание работать;5
499;разработка сметной документации на строительство и реконструкцию объектов;5
500;знание сметно-нормативной базы и нормативно-технической документации в области ценообразования в строительстве;5
501;работа в сметной программе &quotадепт&quot или &quotгранд-смета&quot как преимущество;5
502;cms wordpress;4
503;aris;4
504;kanban;4
505;анализ бизнес показателей;4
506;web-дизайн;4
507;android;4
508;исполнение поручений руководителя;4
509;стратегический маркетинг;4
510;управление бюджетом;4
511;php5;4
512;dwh;4
513;архитектура;4
514;b2b маркетинг;4
515;организация презентаций;4
516;vba;4
517;yii;4
518;docker;4
519;bootstrap;4
520;amocrm;4
521;1с: склад;4
522;слаботочные системы;4
523;бюджетирование;4
524;sap bi;4
525;анализ конкурентной среды;4
526;субд;4
527;административно-хозяйственная деятельность;4
528;ведение проектов;4
529;розничная торговля;4
530;технические средства информационной защиты;4
531;продажа комплексных проектов;4
532;sla;4
533;hyper-v;4
534;ms exchange server;4
535;экономическая безопасность;4
536;формирование бюджета;4
537;сопровождение систем информационной безопасности;4
538;математическая статистика;4
539;pmbok;4
540;44-фз;4
541;командообразование;4
542;redux;4
543;взаимодействие с государственными контролирующими органами;4
544;управление лояльностью потребителей;4
545;sales skills;4
546;продажи;4
547;входящие звонки;4
548;тренинги;4
549;кипиа;4
550;работа с кассой;4
551;контроль исполнения решений;4
552;управление строительством;4
553;выбор подрядных организаций;4
554;3d моделирование;4
555;3ds max;4
556;консультант плюс;4
557;водительское удостоверение категории b;4
558;видеонаблюдение;4
559;мотивация;4
560;пожарная сигнализация;4
561;планирование ассортимента;4
562;написание текстов;4
563;анализ ассортиментной линейки;4
564;подбор оборудования;4
565;знание устройства автомобиля;4
566;проведение инвентаризаций;4
567;обслуживание оргтехники;4
568;написание статей;4
569;коммерческая недвижимость;4
570;недвижимость;4
571;ms publisher;4
572;общая психология;4
573;веб-программирование;4
574;доработка конфигураций 1с:erp 1с:бухгалтерия предприятия 1с:зарплата и управление персоналом;4
575;разработка отчетов обработок форм доработка существующих объектов добавление новых функций;4
576;тестирование и отладка работы программы;4
577;техническая поддержка баз 1с;4
578;написание инструкций пользователей по работе в системе 1с;4
579;поиск причин ошибок в работе системы анализ кода 1с;4
580;опыт работы с платформами 1с:83;4
581;умение и желание продавать;4
582;консультация и поддержка пользователей;4
583;опыт работы не требуется;4
584;работа с тендерной документацией;4
585;опыт разработки регламентирующей документации;4
586;работа на конечный результат по выверенной проектной технологии (собственная разработка с 2001 года);4
587;более чем конкурентная заработная плата - высокий процент от выручки!;4
588;зарплата ничем не ограничена - прямая линейная связь между выручкой команды и зарплатой;4
589;образование – приветствуется высшее экономическое или техническое;4
590;подтвержденный опыт внедрения автоматизированных информационных систем на производственных предприятиях от 3-х лет портфолио проектной документации;4
591;аналитические способности и умение работать на результат;4
592;нацеленность на долгосрочное сотрудничество;4
593;знание sql;4
594;умение читать проекты;4
595;образование не ниже среднего специального;4
596;базовые знания английского языка;4
597;релевантный опыт работы;4
598;готовность к изучению нового ;4
599;установка и настройка сбис на рабочем месте клиента и в офисе ;4
600;обучение пользователей работе в системе ;4
601;техническая поддержка клиентов ;4
602;эксплуатация программно-аппаратного комплекса работы с платежными системами;4
603;участие в прохождении аудитов;4
604;доработка пак;4
605;знания в области коммутации и маршрутизации (ipv4);4
606;скриптовые языки (bash);4
607;балансировщики нагрузки (haproxy);4
608;выстраивание и поддержание долгосрочных отношений с клиентами;4
609;высшее образование (профильное);4
610;консультации по работе программного обеспечения;4
611;организация ремонта (при необходимости);4
612;решение любых проблем возникающих в процессе работы;4
613;проведение системно-технического обслуживания парка компьютеров;4
614;настройка компьютерного и периферийного оборудования;4
615;установка и настройка oc windows;4
616;коммуникабельность стрессоустойчивость целеустремленность;4
617;поддержка в рабочем состоянии локальной сети компьютеров и оргтехники;4
618;хорошее логическое мышление;4
619;отличное знание пк (outlook excel word);4
620;ориентированность на развитие вместе с компанией;4
621;навыки: монтажа кабельных линий (витая пара) подключения интернета работы с электроинструментом (перфоратор дрель) настройки роутеров модемов маршрутизаторов;4
622;корпоративную жизнь: клубы игры кружки по интересам (йога английский язык живопись и многое другое);4
623;опыт работы приветствуется;4
624;заполнение сопутствующей документации;4
625;поиск новых клиентов;4
626;работа с новыми клиентами: заключение договоров на услуги связи;4
627;операционно-кассовое обслуживание;4
628;соблюдение стандартов работы с клиентами;4
629;опыт работы в сфере продаж;4
630;проведение переговоров и заключение договоров с клиентами;4
631;будет активно продавать продукты и услуги теле2 и ростелеком;4
632;готов сделать все возможное чтобы посетители оставались довольными и уходили получив ответы на все свои вопросы;4
633;интересуется трендами и новинками телекома знает преимущества телеком услуг и умеет их объяснить;4
634;умеет разговаривать с клиентом на языке выгод;4
635;готов к работе в динамичной среде розничной торговли;4
636;выполнение планов продаж;4
637;поддержание витрин торгового зала в чистоте;4
638;демонстрация товара и проверка его работоспособности;4
639;желателен опыт работы в аналогичной должности от 1 года;4
640;желание работать и развиваться нацеленность на результат;4
641;знание ассортимента компьютерной и цифровой техники комплектующих к пк;4
642;опыт активных продаж будет вашим преимуществом;4
643;контроль наличия продукции на витринах;4
644;прием товара;4
645;опрятный внешний вид;4
646;ведение документооборота;4
647;успешный опыт закупок и работы с большим количеством поставщиков;4
648;подбор и презентация объектов недвижимости;4
649;умение работать с большим объемом информации;4
650;ответственное отношение к работе;4
651;контроль соблюдения режима на объекте предотвращение хищений;4
652;обеспечение безопасности на территории охраняемого объекта;4
653;умение работать с детьми;4
654;smm;3
655;r-keeper;3
656;qa;3
657;api;3
658;управление бизнес процессами;3
659;дистанционное обучение;3
660;работа с системами аналитики;3
661;создание сайтов;3
662;asterisk;3
663;исполнение личных поручений руководителя;3
664;ms project expert;3
665;планирование маркетинговых кампаний;3
666;google docs;3
667;проведение опросов;3
668;кадровый учет;3
669;tfs;3
670;гост;3
671;architecture;3
672;etl;3
673;ms dynamics crm;3
674;1с: комплексная автоматизация;3
675;маркетинговые исследования;3
676;pl+;3
677;ibso;3
678;кассовые операции;3
679;кассовые документы;3
680;atlassian confluence;3
681;немецкий язык;3
682;стратегический менеджмент;3
683;solidworks;3
684;angularjs;3
685;оптимизация бизнес процессов;3
686;лидерство;3
687;mvc;3
688;typescript;3
689;реинжиниринг бизнес-процессов;3
690;ms paint;3
691;веб-аналитика;3
692;sap bw;3
693;sap business objects;3
694;программирование;3
695;vue;3
696;swift;3
697;управление проектной командой;3
698;коммуникативные навыки;3
699;vpn;3
700;ms exchange;3
701;анализ рисков;3
702;pmp;3
703;apache tomcat;3
704;сзи;3
705;прокладка кабелей;3
706;time management;3
707;zabbix;3
708;настройка почтовых серверов;3
709;администрирование сайтов;3
710;networking;3
711;дизайн;3
712;навыки работы с первичной документацией;3
713;работа с физическими лицами;3
714;подготовка отчетов;3
715;qt;3
716;прогнозирование;3
717;windows 10;3
718;системное администрирование;3
719;jdbc;3
720;junit;3
721;cassandra;3
722;elasticsearch;3
723;oracle 11g;3
724;openshift;3
725;teamcity;3
726;3 группа по электробезопасности;3
727;управление цепочкой поставок;3
728;логистика;3
729;проектирование лвс;3
730;scada;3
731;автоматизация производства;3
732;производство пусконаладочных работ;3
733;техническая документация;3
734;корпоративные продажи;3
735;mathcad;3
736;autodesk 3ds max;3
737;исходно-разрешительная документация;3
738;оптимизация затрат;3
739;экономический анализ;3
740;взаимодействие с надзорными организациями;3
741;строительно-отделочные работы;3
742;капитальный ремонт;3
743;гранд-смета;3
744;строительное делопроизводство;3
745;подбор персонала;3
746;coreldraw;3
747;торговля;3
748;взаимодействие с правоохранительными органами;3
749;умение расставлять приоритеты;3
750;переговоры с первыми лицами компаний;3
751;управление талантами;3
752;business development;3
753;китайский язык;3
754;привлечение клиентов;3
755;опыт продаж;3
756;обслуживание покупателей;3
757;знание техники продаж;3
758;прием посетителей;3
759;первичная недвижимость;3
760;навыки работы с возражениями;3
761;1с: бухгалтерия и склад;3
762;транспортная логистика;3
763;контроль поставок;3
764;складской учет;3
765;оформление заказов;3
766;исследования рынка;3
767;контроль хозяйственной деятельности;3
768;проведение ревизий;3
769;умение планировать рабочее время;3
770;порядочность;3
771;высокая скорость печати;3
772;монтаж металлоконструкций;3
773;подбор недвижимости по запросу клиента;3
774;позитивный настрой;3
775;продажи корпоративным клиентам;3
776;готовность к обучению;3
777;математик;3
778;работоспособность;3
779;высшее образование (экономическое техническое);3
780;знание объектно-ориентированного программирования;3
781;проведение custdev-ов с клиентами россии снг и целевых иностранных рынков;3
782;анализ рынка работа с участниками рынка (бизнес агентства студии) ;3
