;Skills;Cluster
10;['подготовка презентаций', 'формирование годовых и оперативных планов подразделения подготовка отчетов', 'писать инструкции пользователям', 'оформление презентации и подготовка отчетов', 'анализировать влияние проведенного обучения на целевые показатели продаж/ поддержки продаж b2b', 'создание новых объектов конфигурации модификация и обновление существующих', 'умение четко и грамотно описывать постановку задачи разработчикам', 'планирование и управление бюджетом', 'участие в подготовке и утверждении целевой архитектуры хранилищ данных и связанных решений', 'умение выявлять реальные потребности бизнеса и предлагать оптимальные ит-решения для этих задач', 'взаимодействие с подразделениями компании для решения вопросов по методическому обеспечению процесса сопровождения нси', 'методологическая поддержка пользователей нси', 'квалификация новых заказчиков (соответствие по размеру бюджету проблематике) выявление потребности заказчика и адаптация предложения', 'формирование ткп для заказчика отработка возражений заключение сделок', 'мониторинг удовлетворенности заказчика поддержка и развитие доверительных отношений после продажи', 'поддержка пользователей', 'периодический аудит процессов контроль на оптимальность и не дублирование новых бизнес-процессов', 'навыки внедрения новых инструментов в бп', 'подготовка и презентация материалов по предлагаемым изменениям в бизнес-процессах', 'осуществление изменений в ис на соответствие требованиям', 'согласование требований с заинтересованными лицами'];49
11;['знание windows-платформ', 'знания схемотехники электротехнических устройств', 'базовое знание windows и основных сервисов - ad dhcp dns iis wsus и тд', 'знание стандартов гост 34 и рд 50', 'общая компьютерная грамотность знание офисных пакетов', 'хорошее знание php 5 php 7', 'знание норм и стандартов рк', 'общее знание uml', 'общее знание xml json – является преимуществом', 'аналитический склад ума пытливый и изыскательский жажда знаний', 'знание международных и отечественных', 'базовые знания бухгалтерского учета и налогового учета', 'знание основ электротехники схемотехники', 'знание конфигурации утп 12', 'знание основ физики электротехники', 'знание основ электроники', 'знание typescript', 'отличное знание javascript html5 css3', 'знание основных промышленных протоколов (profibus profinet ethercat modbus и других)', 'отличные знания javascript'];51
12;['проектная документация', 'разработка внедрение и сопровождение политики информационной безопасности', 'подготовка и внесение изменений в проекты', 'обеспечение разработки и внедрения rpa решений', 'осуществление методологической и консультационной поддержки заказчика на протяжении проекта rpa', 'умение проводить презентации и защищать результаты проекта у заказчика', 'управление рамками бюджетом и ресурсами проекта', 'разработка и внедрение новых бизнес-процессов регламентов инструкций', 'документация: гост пб фнип', 'принимать задачи от пользователей и писать спецификации на разработку', 'системное администрирование и техническая поддержка головного офиса и подразделений организации', 'анализ и описание бизнес-процессов проекта по созданию информационно-аналитической системы', 'принимать и выдавать необходимую проектно-сметную документацию', 'возможно разработка нового функционала', 'разработка концепции реализуемых систем и обоснование принимаемых проектных решений', 'осуществляет авторский надзор и периодический контроль входящей и исходящей документации', 'написание эксплуатационной документации', 'разработка по в составе коллектива разработчиков программного обеспечения', 'заключение необходимых договоров для закупки программного обеспечения (по) либо услуг по консалтингу и разработке по', 'подготовка задач для разработки'];18
13;['общий стаж в it - не менее 7 лет опыт работы на должности директора департамента it 3 года', 'опыт руководящей работы не менее 1 года', 'опыт работы по направлению от 3-х лет', 'опыт работы по направлению деятельности не менее 3-х лет', 'опыт работы с приборами кипиа различных производителей', 'опыт работы на предприятии инженером-конструктором (инженером-технологом)', 'опыт работы с веб-сервисами (rest soap)', 'опыт работы на позиции с аналогичным функционалом не менее 1 года', 'желателен опыт работы в fmcg', 'опыт работы business-process manager’ом бизнес-аналитиком обязателен', 'желателен опыт работы на аналогичной позиции', 'опыт работы с mysql', 'опыт работы с rest', 'релевантный опыт работы от 3-х лет', 'опыт работы от 2 лет в должности системного/бизнес аналитика ', 'опыт работы от 2 лет', 'опыт работы с регионами', 'опыт работы не менее 3 лет', 'опыт работы в системным администратором от 4х лет', 'опыт работы с git'];63
14;['инженерные системы', 'реализация проекта в согласованные сроки в рамках выделенного бюджета и с требуемым уровнем качества', 'разработка методических документов материалов для представления в федеральные органы исполнительной власти', 'формирования требований к автоматизации бизнес-процессов строительных или проектных организаций', 'разработка разделов тз и документов трп', 'участвовать в кросс-функциональных проектах компании для развития инструментов обучения', 'формирование функциональных требований к системе', 'участие в маркетинговых мероприятиях (семинары выставки конференции)', 'соблюдение стандартов поддержки и модификации системы по sla', 'проектирование конструкторской документации асу (схемы структурные электрические принципиальные сборочные чертежи спецификации) ', 'принимать участие в подготовке строительных договоров субподряда и подряда', 'контроль внедрения и аналитическая поддержка разработанного функционала ', 'участие в предпроектных обследованиях', 'понимание waterfall agile подходов к разработке программного обеспечения', 'подготовка технико-коммерческих предложений и договоров по проектам асу тп', 'участие в авторском надзоре', 'разработка новой корпоративной информационной системы на базе 1с 83', 'участие во внедрение erp системы в рамках своей компетенции'];35
15;['знания подходов и технологий в области цифровизации', 'приветствуется знание английского языка ', 'приветствуются знания методологии финансового и бухгалтерского учета налогового учета производственного учета процессов бюджетирования ', 'знание проектных технологий', 'знание основных принципов построения сетей передачи данных', 'знание методологий описания бизнес-процессов (epc idef0 dfd aris bpmn и др)', 'знание ин языков: английский приветствуется но не обязательно', 'профессиональное знание ms office', 'знания по процессу и методам лицензирования компании microsoft', 'знание английского языка на уровне intermediate', 'знание программ ms office: word excel powerpoint visio', 'знание номенклатуры и принципов монтажа и пуско-наладки применяемого оборудования и материалов', 'знание case средств и нотаций моделирования предметной области (bpmn uml и тп) ', 'продвинутые знания в области автоматизации производств (l2 уровень) ', 'хорошее знание и понимание языка запросов 1с', 'знание eplan autocad microsoft office обязательно', 'знание пакета microsoft office autocad'];2
16;['разработка инструкций', 'согласование промежуточных и финальных результатов проекта rpa', 'защита результатов проекта у заказчика', 'разработки пользовательских инструкций', 'методологическая поддержка проекта', 'подготовка документации по сопровождению процесса реализации проекта', 'дизайн разработка и имплементация бизнес-процессов', 'разработка руководства по эксплуатации руководства и инструкции оператора ', 'участие в проекте внедрения erp системы для управления административно-хозяйственной деятельностью банка (смета ахр (планирование исполнение контроль) управление активами (движимое и недвижимое имущество) ', 'создание прозрачной среды общения между всеми участниками проекта', 'сбор и определение требований к составу и структуре справочников разработка шаблонов правил написания наименований заполнения других атрибутов справочников', 'разработка требований по оптимизации системы управления заявками на изменение нси', 'стандарты унифицированной системы организационно-распорядительной документации', 'разработка и поддержка и корпоративной информационной системы', 'документирование разработка инструкций', 'умение пользоваться сборщиками проектов webpack/npm'];70
17;['договорная работа', 'работа с возражениями', 'стаж работы по специальности не менее 1 года', 'стаж работы от 2-х лет в аналогичной должности либо от 10 системным администратором', 'командная работа', 'опыт работы проектирования в нефтегазовой отрасли от 1-2 лет', 'составление спецификаций ведомостей объемов работ', 'возможность развить &quotпрофессиональную мускулатуру&quot работая вместе с профессионалами познакомиться с лучшими практиками', 'опыт работы в проектировании в нефтегазовой отрасли от 5 лет', 'работа с 3d-моделями (сборка актуализация и тд)', 'оформление по тк рф с первого дня выхода на работу', 'возможен прием без опыта работы', 'опыт работы проектирования в нефтегазовой отрасли от 2-3 лет', 'методологическая работа', 'опыт работы в сфере проектирования от 5-х лет', 'опыт работы в сфере проектирования от 3-х'];83
18;['проектный менеджмент', 'контроль разработанных решений согласно требованиям', 'разработка бизнес требований для информационных систем компании тестирование информационных систем компании', 'внедрение новых бизнес-процессов подготовка презентаций видео-обучений сотрудникам компании', 'процессов управления архитектурой и контроля качества внедрения информационных систем', 'управления тестированием и внедрением', 'определение проектных задач и необходимых ресурсов', 'создание проектных планов', 'анализ контроль качества и согласование подготовленных на предпроекте: описаний и схем текущих и целевых процессов ит-архитектуры бизнес и функциональных требований на автоматизацию административно-хозяйственной деятельности банка системы оценки выбора по и тп ', 'участие в отраслевых выставках конференциях и иных активностях для привлечения новых заказчиков', 'участие в составе scrum-команды в формировании пользовательских историй и определении критериев принятия пользователем и ключевых сценариев тестирования', 'участие в переговорах с заказчиком', 'подготовка выдача заданий смежным отделам', 'определение требований к ит-системам для обеспечения эффективного исполнения бп участие в технологическом и архитектурном комитете', 'участие в автоматизации процессов планирования/бюджетирования/координации/контроля закупок', 'контроль и сопровождение внедрения ис и новых процессов'];80
19;['система хранения данных', 'проектирования ис', 'размещение оборудования контроль поступления и сборки организация испытаний и последующей отгрузки', 'обеспечивать выполнение поручений своего руководителя и руководства компании', 'поиск возможных точек роста качества прогноза', 'умение работать в команде', 'координация проектных команд и консультантов', 'разработка моделей данных хранилищ данных проектирование логической модели витрин', 'контроль качества выполнения то подрядными организациями', 'контроль подрядных организации на этапе смр пнр опс аспт', 'коммуникабельность пунктуальность нацеленность на результат умение работать в команде', 'умение организовывать и мотивировать команду', 'желание и умение работать в команде не индивидуалист! высокий уровень самоорганизации инициативности активности ориентации на результат обучаемости', 'составление спецификаций шкафного оборудования автоматизации проектирование шкафов автоматизации', 'организация формирования плана закупок', 'организация формирование плана платежей'];5
20;['участие по необходимости в пресейлах компании (оценка сроков подготовка кп ресурсное планирование) ', 'реальные результаты внедрения сопровождения microsoft dynamics ax', 'предпочтительно наличие опыта сфере финансов страхования или ритейле', 'обеспечение ведения статистической отчетности по автоматизированным системам в зоне своей ответственности', 'непосредственное программирование ключевых разработок в рамках проекта (минимально)', 'участие в приемочных инспекциях изготовленного оборудования', 'контроль ит бюджета в рамках курируемых договоров ', 'обучение консультирование пользователей системы нси', 'участие в мероприятиях для профессионального развития тренинги учебные курсы', 'методы определения экономической эффективности внедрения асуп', 'внедрение инструментов bpm', 'поддержка пользователей организации (обучение инструктирование)', 'оказание услуг по методической и организационно-технической поддержке органам государственной власти рф при планировании и реализации мероприятий в сфере икт и по внедрению икт', 'контроль за исполнением бюджета и выполнением мероприятий в сфере цифровизации реализуемых региональными органами власти', 'определение системы метрик и целевых показателей бизнес-процессов'];41
21;['информационные технологии', 'ms visio', 'ms powerpoint', 'ms excel', 'ms sharepoint', 'ms project', 'стремление к саморазвитию и освоению новых технологий', 'владение английским языком на уровне pre-intermediate (чтение технической литературы деловая переписка)', 'пк - продвинутый пользователь: ms office ос семейства microsoft windows   будет плюсом: ', 'уверенный пользователь ms office', 'умение работать с продуктами ms office', 'владение английским языком для чтения технических статей и обучающего материала ', 'процессы и аппараты химической технологии', 'отличные навыки владения пк (autocad ms office)'];54
22;['разработка регламентов', 'составление и согласование проектной документации (анкета проекта тз кпг) участие в защите проекта', 'разработка и согласование концепции цели и основных этапов проектам ( национальная система маркировки и прослеживаемости товаров) ', 'управление проектами (интеграция разработка сопровождение внедрение по) в государственном или коммерческом секторе', 'оценка и утверждение трудоемкости разработок сроков разработки с учетом необходимости доработки смежных компонент и их резервирования', 'оформление бизнес-требований к доработкам / разработкам it-систем / модулей', 'управление планирование и разработка проектов относящихся к ит системам', 'разработка тз', 'составление планов по разработке и поддержке проектов', 'управление рисками проекта разработка и реализация плана компенсирующих мероприятий', 'участие в проектах по разработке цифровых решений и интеллектуальной автоматизации бизнес-процессов', 'разработка пользовательских сценариев ', 'разработка отчетов', 'консультирование разработчиков на этапе разработки'];62
23;['sql', 'сетевые технологии', 'программирование', 'по: microsoft office visio power point', 'программирование и настройка приводов sinamics yaskawa ', 'программирование панелей оператора в среде программирования tiaportal wincc flexible  ', 'программирование верхнего уровня в среде wincc ', 'основы программирования', 'готовность освоения новой предметной области', 'возможность участвовать в развитии предлагать идеи и технологии', 'программирование контроллеров scada частотных преобразователей', 'микропроцессоры и их программирование', 'программирование контроллеров и hmi панелей (siemens schneider weintek ge lenze delta)', 'хорошее понимание особенностей асинхронного программирования'];6
24;['управление проектами', 'ведение документации по проектам', 'участие в проектах внедрения решений аскон', 'ведение проектной документации и отчетности по проекту', 'формирование организация согласования и подписания технических актов по этапам исполнения проектов', 'контроль исполнения плана поставок по ключевым точкам (утверждение частного технического задания (чтз) назначение уполномоченной организации согласование плана качества и тд)', 'разработка проектов в части программного информационного и математического обеспечения', 'участие в разработке функциональных требований к информационным системам', 'управление назначенными проектами в сфере коммерческой деятельности', 'разработка блок-схем алгоритмов управления автоматическими системами', 'разработка проектной документации автоматизация и диспетчеризация инженерного оборудования здания промышленных и гражданских объектов (овик вк эом атм ахс апт аскуэ)', 'разработка проектной документации автоматизация и диспетчеризация инженерного оборудования здания промышленных и гражданских объектов (овик вк эом аскуэ)'];47
25;['1с: ух', 'erp-системы на базе 1с', 'обновление конфигурации 1с', 'архитектор хранища данных', 'хранилище данных', '1с: документооборот', 'базы данных', 'основных механизмов платформы 1с предприятие 83', 'иметь представление об 1с', 'наличие сертификатов 1с', 'понимание основ проектирования баз данных и интерфейсов ит-систем', 'аналитика исходных данных мастер-систем и построение маппингов'];77
26;['опыт в подготовке отчетных документов понимание правил и опыт ведения документооборота ', 'опыт внедрения rpa в банках / финансовых организациях / других отраслях', 'опыт в продажах не менее 6 месяцев', 'опыт контроля подрядных организаций', 'контроль работы по автоматизации банковских приложений ', 'опыт проектирования систем кабельных каналов (лотков) увязки со смежными коммуникациями', 'опыт в оптимизации производительности oracle', 'опыт подбора кипиа и согласования ркд на кипиа', 'опыт взаимодействия с органами госвласти', 'организация взаимодействия внутри отдела координирование работ расстановка приоритетов', 'проведение авторского надзора работа с ген и субподрядными организациями (при необходимости)', 'проведение авторского надзора работа с ген и субподрядными организациями'];20
27;['системы мониторинга сетей', 'контроль качества', 'системы автоматизации', 'системы пожаротушения', 'формирование проектной команды', 'настраивать системы', 'контроль качества по', 'в перспективе - ведение проектов по внедрению других систем на платформе 1с 8', 'изучает причины отказов и нарушений в системе разрабатывает предложения по их устранению и предупреждению по повышению качества и надежности асуп', 'интеграция сапр с другими системами', 'оптимизация системы менеджмента качества'];78
28;['управление бизнес процессами', 'моделирование rpa решений', 'анализ ис процессов на возможность взаимодействия с ними rpa решения', 'согласование возможности применения rpa решений в ис роботизируемого процесса', 'умение диагностировать проблему и находить оптимальные пути решения', 'обработка и решение обращений пользователей', 'мотивация на итоговый результат навыки самостоятельного решения возникающих трудностей ', 'создание артефактов по итогам анализа (презентация решения аналитическая записка образ и границы решения бизнес-модель решения)', 'поддержание бизнес-модели решения в актуальном состоянии', 'умение находить решения в сложных ситуациях', 'способность быстрого анализа текущей ситуации для выбора оптимального решения'];92
29;['образование - высшее профильное', 'высшее или среднее техническое образование', 'высшее образование', 'образование: высшее', 'высшее образование (техническое/математическое) выпускники вузов учащиеся последних курсов', 'высшее образование (ит)', 'профильное высшее образование', 'высшее образование по специальности', 'высшее профильное образование', 'высшее образование ', 'высшее или среднее техническое образование '];4
30;['выстраивание коммуникаций в проекте', 'отслеживание рисками проекта', 'ресурсное и календарное планирование проекта / группы проектов ', 'формирование отчетов по исполнению проекта учет трудозатрат по проектам', 'участие в проекте внедрения системы автоматизированного прогнозирования в качестве ключевого пользователя', 'отчеты по состоянию проекта для управляющих комитетов', 'портфолио отдельных выполненных проектов где кандидат принимал участие как рп или архитектор', 'понимание front-end и back-end разработки проектов', 'формирование отчетности о статусе исполнения обязательств проекта фиксация выполнения в системе управления проектами', 'разработка чертежей и текстовых документов по проекту отдельных разделов (частей) проекта', 'прохождение экспертизы проектов'];26
31;['проектирование', 'проектирование печатных плат', 'проектирование кипиа', 'организационное проектирование', 'организация рабочих мест', 'организация закупок it', 'понимание задач и принципов организации проектирования и подготовки производства', 'проектирование отказоустойчивых и катастрофоустойчивых систем', 'желание работать в команде', 'консультирование архитектора\\ разработчика на этапе проектирования '];32
32;['организация it инфраструктуры для обеспечения бесперебойной работы всех процессов компании', 'опыт проведения встреч на уровне вторых лиц международных компаний ', 'понимание порядка исполнения работ в проектной организации', 'планирование и контроль исполнения работ', 'проактивность в работе с пользователями развитые устные и письменные коммуникативные навыки', 'обеспечение качественного и бесперебойного сопровождения работы пользователей', 'опыт описания бизнес-процессов навыки написания sql-запросов – как дополнительное преимущество', 'опыт проектирования отказоустойчивой и катастрофоустойчивой ит инфраструктуры (серверное оборудование системы хранения данных корпоративные сети уровня предприятия виртуальная инфраструктура ит субд)', 'обеспечение бесперебойной работы сапр (настройка администрирование доработка)', 'понимание принципов работы и подключения основных типов датчиков и исполнительных устройств (пневматические и электрические приводы) умение рассчитывать мощность электрических цепей'];0
33;['установка и настройка конфигурации по аскон по техническому заданию', 'прием регистрация и решение обращений поступающих в службу технической поддержки', 'проработка технических решений и оценка влияния планируемых изменений ит архитектуры на действующие информационные системы', 'практические навыки написания технических заданий на модификации', 'консультации пользователей и технических специалистов', 'взаимодействие с заказчиками и исполнителями согласование проектной технической документации', 'постановка технических задач программистам', 'сбор и анализ бизнес-требований их формализация в функциональные и технические задания с согласованием', 'разрабатывать техническую документацию и инструкции для пользователей', 'высшее образование в области инженерных систем или проектирования'];44
34;['подготовка и систематическое ведение отчетных документов о работе проекта: протоколов встреч реестров задач справок для руководства пр', 'опыт создания конфигурирования и внедрения автоматизированных систем управления', 'опыт внедрения или сопровождения microsoft dynamics ax 2012 в качестве консультанта от 2 лет', 'участие в приемочных испытаниях комплексном опробовании объектов завершенных капитальным строительством контроль пуско-наладочных работ в части систем автоматизации систем противопожарной защиты', 'опыт оптимизации программного кода анализа и поиска причин проблем с производительностью', 'выстраивание работы и взаимодействий внутренней команды разработки и сопровождения системы 1с:erp', 'подтвержденный опыт внедрения 1с:erp на производственном предприятии в качестве руководителя проекта или архитектора', 'формулирует постановку задач выполняет работу по их алгоритмизации выявляет возможности типизации решений отдельных элементов системы подготавливает предложения о применении в проектировании асуп типовых блоков и участвует в их создании', 'опыт внедрения систем планирования и управления производством '];17
35;['подтвержденный опыт участия в создании и/или развитии крупных инженерных или it-проектов приветствуется опыт руководства такими проектами или отдельными направлениями таких проектов ', 'проведение работ по подключению изменению технических параметров подключения и отключению услуг клиентам общества', 'контролировать подготовку исполнительной документации работа с заказчиком региона по направлению деятельности', 'координация работ по внедрению контроль сроков по проектам внедрения', 'будет плюсом: технический бэкграунд или опыт продаж технически сложных продуктов в сегменте b2b опыт в продажах или внедрении систем типа: ecad cad plm pdm опыт руководителя или куратора проекта', 'опыт подготовки проектной документации ', 'принимать участие в разработке инженерных смет по определенному объему работ для рассмотрения старшим или ведущим инженером', 'опыт внедрения и поддержки проектов по автоматизации', 'контроль выполнения работ связанных с техническим обслуживанием автоматизированных установок пожарной сигнализации (аупс) автоматизированных установок пожаротушения (аупт) и систем вентиляции'];14
36;['приветствуются знания логистических и товарных операций ', 'знание windows-платформ на уровне администратора', 'знание принципов бухгалтерского и налогового учета', 'знание и понимание itil', 'знание архитектуры построения охранно-пожарных систем и систем автоматического пожаротушения знание нормативных требовании рд сп при то эксплуатации и монтаже опс аспт', 'знание sql ', 'знание рынка комплектующих асу тп ', 'знание нормативных документов', 'знание нормативных документов сп пуэ'];73
37;['опыт чтения и доработки чужого кода', 'опыт работы в качестве консультант / бизнес-аналитика от 3 лет', 'опыт работы: участие в построении web интерфейсов опыт координации их реализации', 'опыт использования case-средств для моделирования бизнес-требований', 'опыт работы по направлению тестирования по от 3-х лет', 'опыт работы в компаниях со сложной организационной структурой', 'управленческий опыт будет преимуществом', 'опыт руководства группой/отделом от 10 человек не менее 3 лет ', 'опыт фронтенд-разработки 3+ года'];3
38;['ведение документации', 'контроль качества выполнения разработок внешними подрядчиками в рамках управления изменениями и внедрения новых решений', 'технологическое обеспечение разработки', 'проектирование программных решений и механизмов интеграции оформление проектной документации', 'планирование управление изменениями проектов и систем находящихся в продуктивной фазе', 'организовывать изменение процессов в блоке в рамках федеральных проектов', 'улучшение существующих проектов и бизнес процессов', 'принимает участие в проектах по информатизации информационных технологий  таких как : умный город умная больница'];94
39;['образование: высшее экономическое / техническое', 'высшее техническое образование', 'оконченное высшее образование (технический / экономический / it профиль)', 'высшее техническое образование ', 'высшее профессиональное (техническое) образование', 'высшее техническое образование инженера кипиа', 'образование высшее (техническое будет преимуществом)', 'образование – высшее техническое'];68
40;['общие знания плк (программируемые логические контроллеры) и языков программирования', 'знание английского языка', 'знание современных методик обмена информацией', 'отличное знание английского языка', 'знание продуктов сзи отечественных и зарубежных', 'базовое знание объектно-ориентированных языков программирования (c# c++)', 'знание типов измерения технологических параметров особенностей применения кипиа', 'знание английского языка (предпочтительно)'];71
41;['умение планировать и распределять работу', 'контроль корректной работы узлов доступа к сети интернет', 'опыт работы с информационными системами 1с с большим количеством пользователей', 'ведение шеф-монтажных и пусконаладочных работ ', 'возможна работа в офисе (мбауманская) или удаленно', 'опыт работы инженером по автоматизации на производственных предприятиях или в электромонтажных компаниях исследовательских институтах инженером программистом асу тп и пр (иностранные производители) – от 2 лет', 'опыт проектирования взрывоопасных объектов в роли ведущего инженера (стадии пд рд)', 'участие в пуско-наладочных работах'];16
42;['разработка технических заданий', 'технические системы и средства безопасности', 'разработка и вне6дрение технических решений для организации услуг', 'разработка технических заданий на автоматизацию', 'создание технической документации по проектам и модулям для ит отдела', 'осуществляет подготовку необходимых данных и участвует в составлении технического задания на проектирование асуп и ее отдельных этапов и подсистем в разработке технических и рабочих проектов', 'подготавливает проекты методических материалов инструкций и другой технической документации связанной с созданием и использованием фондов информационного использования асуп'];23
43;['повышение эффективности работы сотрудников путем автоматизации бизнес-процессов и регламентов компании', 'опыт организации сопровождения (в том числе с использованием подрядчиков) конфигураций 1с', 'опыт взаимодействия с it (написание бизнес-требований постановка тз и тестирование)', 'обеспечение бесперебойной работы ит-сервисов в зоне ответственности', 'контролировать соблюдение технологической последовательности и сроков выполнения работ субподрядными организациями', 'выполняет работу по проектированию и внедрению автоматизированных систем управления производством (асуп) на основе применения совокупности экономико-математических методов современных средств вычислительной техники коммуникаций и связи элементов теории экономической кибернетики', 'планирование текущей работы отдела и определение средне- и долгосрочных перспектив развития'];69
44;['анализ требований принятие решений о технической реализации требований оценка технической реализации требований предлагаемой подрядчиками', 'анализ разработка и обоснование проектных решений по запросам на изменение ис', 'анализ и экспертиза проектной документации по разделам опс аспт', 'обучение и техническая поддержка пользователей', 'создание новых модулей и доработка существующих под бизнес-процессы компании по техническому заданию', 'подготовка исходных технических требований на поставку сложного оборудования с комплектным кипиа', 'написание технических заданий на основе требований бизнеса способствующих оптимизации и автоматизации процессов'];56
45;['практический опыт внедрения систем управления на базе платформы 1с в строительных компаниях', 'анализ работы информационных систем 1с с использованием технологического журнала', 'работа с заказчиками (машиностроение приборостроение) по автоматизации конструирования проектирования и управления инженерными данными на базе решений аскон и партнеров', 'опыт внедрения новых информационных систем или их модернизации (сервера физические и виртуальные дисковые массивы аппаратные балансировщики фаерволы)', 'понимание принципов разработки программного обеспечения и работы информационных систем', 'опыт продаж продуктов и услуг в сегменте b2b с циклом продаж от года', 'опыт подготовки и проведения презентаций уверенного ведения переговоров '];7
46;['управление разработкой', 'разбор технических проблем которые не смогли быть решены в рамках стандартных процедур участие в расследовании критических инцидентов поиск корневых проблем контроль их устранения', 'участие в разработке архитектуры проектных решений после обсуждения задач с бизнес-заказчиком', 'навыки разработки проектной и рабочей документации', 'разработка и обеспечение процесса согласования процессной документации', 'создание необходимой документации по проектам и процессам'];95
47;['приветствуются знания методологий проектирования и разработки по ', 'приветствуется знание типовых конфигураций erp 24 управление холдингом 13', 'знание методологий управления и изменения мастер данных', 'знание методологии разработки проектов', 'знание нормативной документации в области иб приветствуется', 'знание технологии проектирования нормативно-технических документов по специальности для опасных производственных объектов'];24
48;['участие в разработке технической документации по проекту внедрения', 'разработка технической и сопроводительной документации на доработки конфигурации', 'разработка и дизайн-проектной пользовательской и технической документации', 'разработка технической документации', 'порядок разработки проектов асуп и ее подсистем технических заданий технических и рабочих проектов', 'порядок разработки и оформления технической документации'];21
49;['обучение сотрудников проектных организаций работе в автоматизированных системах', 'работа с заказчиком от стадии пресейла до реализации и закрытия проекта', 'разрабатывать инструкции по работе с программами оформлять необходимую документацию', 'навыки работы с одной или несколькими системами сапр', 'опыт разработки по от 2-х лет (как плюс в области travel-проектов)', 'успешный опыт ведения крупных проектов по оптимизации бп'];58
50;['опыт работы в проектной организации или it-компании автоматизирующей процессы проектных организаций (не менее 2 лет)', 'участие в выборе подрядчиков контроль работы подрядных организаций', 'опыт автоматизации бизнес-процессов (желателен)', 'умение подробно вникнуть в работу и понятно описать бизнес-процессы', 'проведение шеф-монтажных пусконаладочных приемосдаточных работ заказчику', 'опыт постановки задач как собственной команде разработчиков так и внешнему подрядчику '];28
51;['контроль соблюдения правил разработки критериев оценки качества работы подрядчиков методик оценки трудозатрат по своему направлению', 'контроль (ведение) выполняемых работ по проекту', 'желателен опыт ведения проектов в сфере животноводства', 'контролировать чтобы стоимость выполняемых по проекту и сметам строительных или монтажных работ соответствовала их качеству и объему', 'на назначенных строительных участках обеспечивать поддержку строительства путём разъяснения чертежей и спецификаций и вносить изменения в проект принимает участие в выполнении работ по съёмке строительных площадок проведении измерений принятии актов сдачи-приёмки и других инженерных видов работ на строительном участке', 'опыт разработки регламентов и сто в сфере ответственности '];74
52;['знание методических и нормативных материалов по вопросам организации асу тп', 'знание видов программного обеспечения асутп', 'приветствуется знание архитектуры типовых решений 1с', 'знание основных подсистем 1с:erp 24 и предметных областей (производственный учет торгово-складской учет расчет зарплаты и кадровый учет бухгалтерский и налоговый учет)', 'знание нормативной базы асу тп ', 'знание методик описания тестирования'];40
53;['высшее техническое образование по инженерной специальности (конструктор технолог)', 'высшее или неоконченное высшее образование', 'высшее образование по направлению информационные технологии с курсами повышения квалификации по направлению асутп либо высшее образование по автоматизации технологических процессов ', 'высшее образование (прикладная математика информационные системы аналогичные специальности)', 'высшее математическое или экономическое образование', 'высшее инженерное образование'];22
54;['базовые знания технологий вёрстки: html css js jquery bootstrap', 'знание нотаций моделирования бизнес-процессов (bpmn epc)', 'знание сетевых технологий', 'навыки моделирования и знания инструментов bpm', 'знание областей: складская логистика транспортная логистика цепочки поставки контрактование', 'знание федеральных законов в области пожарной безопасности'];88
55;['организация оформления накладных / актов сдачи приемки выполненных работ контрагентов заведение в 1с', 'выполнение работ по проектированию систем связи и безопасности (свн скуд сотс ссои скс лвс сктв) на стадиях п и р объекты промышленного и гражданского строительства транспортной инфраструктуры', 'работа с базами данных сапр (заполнение актуализация)', 'опыт программирования с использованием 1с 82/83 от 2-х лет', 'приветствуются навыки работы с асутп и телеметрией', 'знать предметную области: коммерция (ценообразование работа с поставщиками документооборот управление ассортиментом) финансы бухгалтерия'];8
56;['работа с большим объемом информации', 'аналитический склад ума ответственный подход к работе и нацеленность на результат', 'знать все что касается настройки и работы с пользовательскими ос (win 7 10)', 'опыт применения оборудования siemens schneider electric allen-bradley и др', 'уверенное владение офисными программами ms word ms excel работа с электронной почтой работа в графических редакторах'];38
57;['ms sql', 'ms office', 'уверенное владение autocad 3d и ms office', 'уверенный пользователь пк (ms office outlook autocad (zwcad)) приветствуется владение ms visio', 'умение программировать плк и hmi панели на языках стандарта мэк 61131'];91
58;['1с программирование', 'языки программирования (abap с# javascript sql)', 'программирование контроллеров siemens s7-1200 s7-1500 языки программирования lad fbd stl ', 'умение применять на практике языки программирования контроллеров в стандарте iec 61131-3 (контроллеры: siemens allen-bradley honeywell и пр )', 'понимание принципов функционального программирования'];12
59;['разработка технорабочей документации', 'разработка проектной документации', 'взаимодействие с командой разработки в рамках разработки технических решений ', 'разработка технорабочей документации и справок', 'разработка проектной и рабочей документации опасных производственных объектов в роли ведущего (лидера) инженера'];98
60;['прагматичный подход к решению задач пунктуальность ответственность стрессоустойчивость коммуникабельность способность быстро воспринимать новые идеи и знания', 'знание основ проектного управления основ банковской деятельности банковских процессов / банковских информационных систем', 'понимание принципов автоматизации технологических процессов знание основ программирования', 'знание принципов построения информационных систем современных информационных технологий ', 'знание английского языка на уровне чтения технической документации'];19
