;Required skill
98;анализ и реализация задач по оптимизации архитектуры dwh и etl-процессов
99;взаимодействие со смежными подразделениями банка по архитектурным вопросам участие в архитектурном совете
100;наставничество над внутренней командой развития dwh
101;сайзинг инфраструктуры dwh
102;проектирование системы управления метаданными хранилища
103;проектирование системы управления и мониторинга интеграционных процессов dwh
104;создание стандартов разработки etl
105;написание документации к разработанным решениям
106;участие в разработке целостной корпоративной информационной архитектуры (хранилищ данных (dwh ods) аналитических систем bi bigdata)
107;участие в проектах внедрения корпоративных хранилищ данных в роли архитектора от 3 лет
108;глубокие знания архитектур хранилищ данных
109;опыт проектирования и развития системной архитектуры хранилищ данных
110;знания типовой инфраструктуры под dwh
111;опыт проектирования моделей данных (логическая физическая концептуальная)
112;опыт внедрения решения sas bis dds оценивается как преимущество
113;знание основ бухгалтерского и управленческого учета и ключевых банковских бизнес процессов
114;развитые коммуникативные навыки опыт курирования работ подрядчиков в проектах по развитию dwh
115;опыт подготовки и проведения презентаций для руководства заказчиков пользователей
116;участие в проектах по внедрению big data решений в роли архитектора оценивается как преимущество
117;vendor management: навыки работы с внешними компаниями управления всем производственным циклом
118;знание принципов agile/scrum и devops
119;высокая работоспособность ответственность готовность работать в режиме многозадачности
120;клиентоориентировнность и проактивный подход
121;минимум ошибок в период запуска программного продукта в опытную эксплуатацию
122;управление вверенными проектами автоматизации бизнес-процессов компании
123;составление и согласование проектной документации (анкета проекта тз кпг) участие в защите проекта
124;постановка и контроль выполнения задач участниками проекта
125;поиск программных средств автоматизации бизнес-процесса проекта
126;переговоры с вендорами поставщиками услуг автоматизации
127;проектирование новых информационных систем: модель данных функциональная модель техническое задание
128;организация разработки информационных систем участие в первичном тестировании
129;взаимодействие с владельцами продуктов и партнерами банка при организации разовой или регулярной crm активности направленной на стимулирование транзакционного поведения клиентов
130;разработка и актуализация подхода к управлению жизненным циклом карты по всем портфелям (кредитная дебетовая зарплатная) разработка коммуникационной стратегии
131;разработка стратегии развития сегментов для достижения kpi в соответствии с бизнес-планом
132;анализ ожидаемой эффективности планируемых активностей определение приоритетов выработка рекомендации для дальнейшего применения
133;участие в ведении проектов направленных на развитие бизнеса и crm направления
134;работа с отчётностью и аналитикой подготовка материалов и презентаций для руководства
135;портфельный менеджмент
136;высшее экономическое или техническое образование
137;опыт работы по направлению crm-деятельности или продуктовом подразделении в крупном банке не менее 2х лет
138;опыт работы по бизнес-направлениям: кредитные дебетовые и/или зарплатные карты развитие транзакционной активности карточных портфелей
139;опыт управления командой
140;уверенный пользователь msoffice
141;сбор статистических данных
142;создание отчетов на основании полученных данных
143;получение и обработка отчетов из 1с
144;контроль отклонений от плановых показателей
145;высшее образование
146;желание развиваться в данном направлении
147;пк уверенный пользователь
148;1c word exсel (формулы форматирование сводные таблицы впр)
149;опыт работы в интернет-маркетинге от 3-ех лет
150;умение генерировать продающие предложения
151;наличие опыта в e-mail маркетинге (построение sale-цепочек информирование цепочки по построению лояльности системные письма) и smm
152;опыт работы с большими бюджетами
153;склонность к постоянному обучению развитию профессиональных навыков и самосовершенствованию
154;способность к работе в команде самостоятельной работе нацеленность на результат и ответственности за результат!
155;***коммуникабельность стрессоустойчивость высокая степень самоорганизации пунктуальность
156;опыт продвижения интернет магазинов b2b | b2c
157;наличие успешных проектов
158;активное участие в подготовке стратегии и дорожной карты развития продукта
159;подключение и мониторинг новых способов доставки
160;выстраивание процесса доставки
161;актуализация и ведение бэклога продукта
162;проработка функциональных требований совместно с бизнес-экспертами и командой разработки продукта
163;анализ основных и потенциальных конкурентов и целевой аудитории
164;тестирование разработанного функционала / внедрённых процессов
165;расчет ключевых метрик продукта оценка метрик и kpi по epics
166;сбор и анализ обратной связи после внедрения epic или по всему продукту
167;возможность создавать новые бизнес процессы и расти с компанией
168;команду профессиональных и неравнодушных коллег
169;высшее образование по специальности связанной с разработкой программного обеспечения
170;опыт разработки web приложений (javascript node js/ php/ python postgresql mysql html/css)
171;мы ищем людей открытых для новых знаний и интересных задач и проектов готовых к обучению и развитию в области программирования
172;осуществление доработок в соответствии с требованиями бизнеса оформление тз для разработчиков тестирование реализованного функционала
173;обучение и поддержка пользователей по crm
174;разработка и актуализация инструкций и регламентов по crm и другим программам
175;формирование отчетности на основании данных из crm
176;образование – законченное высшее техническое экономическое или в сфере управления проектами
177;ответственность коммуникабельность инициативность исполнительность умение быстро осваивать новые области знаний ориентированность на результат и работу в команде
178;внимательность к деталям стрессоустойчивость
179;опыт договорной работы и работы с документацией
180;умение быстро обучаться структурировать и систематизировать информацию
181;ответственность и инициативность умение быстро осваивать новые области знаний ориентированность на результат
182;английский язык на уровне upper-intermediate и выше
183;ведение единой системы отчетности и базы проектной деятельности компании
184;применение основных видов тестирования (функциональное модульное и тд)
185;взаимодействие с разработчиками и аналитиками
186;составление и заведение баг репортов в системе jira
187;разработка и актуализация тестовой документации
188;умение четко и грамотно излагать свои мысли в устной и письменной форме
189;базовые знания sql t-sql
190;администрированиезагрузка данных зонирование распределение подсчет сбор отчетности в crm
191;профессиональная помощь сотрудникам
192;знание пакета офисных программ
193;ответственность усидчивость
194;планирование и контроль выполнения задач по этапам проекта
195;управление командой проекта
196;управление взаимодействием с заказчиком
197;ведение проектной документации
198;управление договорной деятельностью с подрядчиком
199;высшее техническое образование
200;профильный опыт работы от 5-ти лет
201;тестировать сайты/мобильные приложения/сервисы составлять список правок контролировать их выполнение 
202;составлять гугл-таблицы по шаблонам 
203;контролировать задачи/сроки разработчиков в битрикс24 
204;писать кейсы о выполненных работах 
205;формировать техническое задание/смету 
206;общаться с заказчиками 
207;создавать опросы для компании 
208;организовывать движ в коллективе 
209;знание верстки/html 
210;знание 1с-битрикс и битрикс24 
211;опыт в тестировании сайтов 
212;уметь думать о пользе клиенту и решении бизнес-задачи 
213;умения аргументированно корректно отстаивать свою точку зрения 
214;веб разработчик сайтов и интернет магазинов на различных конструкторах и платформах
215;создание дизайна и интерфейса
216;поиск информации о товаре
217;наполнение сайта / интернет магазина
218;продумывание логики и структуры сайтов
219;координация процессов создания landing page корпоративных сайтов и интернет магазинов
220;контроль сроков и бюджетов создания сайтов
221;понимание всех современных технологий создания сайта
222;логическое мышление
223;офис-мансарду в уникальном здании в историческом центре санкт-петербурга в бизнес-центре класса &quotа&quot
224;зоны отдыха с диванами и кофе-корнером
225;пешую доступность от метро адмиралтейская (центр города музей под открытым небом)
226;оплату половины стоимости паркинга &quotу красного моста&quot(если есть необходимость)
227;возможность обучения английскому и немецкому языкам в офисе (внутренние курсы обучения) 
228;интересную и активную корпоративную жизнь (спортивные и интеллектуальные мероприятия праздники многие из которых уже стали традиционными)
229;перспективу переезда в европу (есть свои представительства)
230;поддержку команды на всех этапах работы
231;комфортная и дружелюбная атмосфера в офисе
232;уровень дохода высокий (готовы обсуждать нам важно найти коллегу для длительного сотрудничества)
233;у вас был собственный бизнес
234;у вас есть суперсила которой нет в списке но вы обязательно расскажете о ней на интервью
235;организация технической поддержки сотрудников по телефону и email
236;работа в crm системе строгий учет trouble ticket-ов
237;работа с системой мониторинга zabbix (мониторинг работы сети серверов и it-систем предприятия)
238;монтаж диагностика замена серверных комплектующих
239;работа с распространенными системами виртуализации (создание вм клонирование и др)
240;обслуживание систем кондиционирования и вентиляции (плановая замена фильтров)
241;ответственность пунктуальность желание развиваться в ит
242;хорошее знание серверных ос windows (server 2003 - 2016) и стандартного офисного по
243;грамотная устная и письменная речь
244;понимание работы сети интернет основных принципов модели оси
245;умение оперативно принимать решения самостоятельно искать причины и устранять неисправности
246;опыт работы с системами виртуализации и визуализации
247;умение пользоваться документацией и писать грамотные инструкции
248;плюсом будет опыт работы с asterisk oracle web-серверами
249;плюсом будет знание ос linux и типовыми приложениями (lamp nginx rsync)
250;выполнение необходимых настроек внедряемого компонента (настройки пользовательские не требуют навыков программирования)
251;проведение инструктажа каждого пользователя по работе с внедряемым компонентом (по сути – обучение)
252;консультирование пользователей в процессе их дальнейшей самостоятельной работы с системой
253;сбор и передача данных о возникающих программных ошибках
254;ведение и подписание у пользователей отчетной документации
255;знание пк сборка и разборка
256;замена термоленты
257;обслуживание терминалов
258;выезд по области по для решения возникших ошибок
259;замена комплектующих
260;ремонт пк
261;инкассация
262;высшее (средне-специальное) техническое образование
263;ответственность
264;трудолюбие
265;внимательность
266;умение работать в режиме многозадачности
267;построение взаимодействия и коммуникаций с подразделениями компании внутренней ит командой и подрядчиками
268;подготовка дорожной карты по предметной области управление потоком задач контроль сроков и ресурсов
269;проработка и описание моделей и процессов в текущих системах
270;сбор анализ и систематизация требований к доработке информационных систем на базе 1с оценка их трудоемкости и приоритетности планирование и организация работ по их реализации
271;преобразование бизнес-требований в технические требования для разработки участие в проработке архитектуры ит решений и продуктов
272;контроль разработанной функциональности на соответствие требованиям первичное внутреннее тестирование передача бизнес-заказчику для приемки
273;управление рисками в рамках своей зоны ответственности оценка влияния изменений на деятельность предприятия подготовка и выполнение действий направленных на снижение рисков
274;контроль исполнения принятых процедур по управлению проектами и изменениями
275;исследование решений и систем доступных на рынке для конкретной предметной области формирование предложений по ит решениям организация и проведение функционального тестирования
276;управление бюджетом направления
277;определение потребностей в обучении пользователей в рамках выполняемых проектов и изменений обеспечение передачи знаний из проекта в поддержку
278;знание бизнес-процессов тендерной деятельности в области государственных закупок - как преимущество
279;навыки работы с jira&ampconfluence преимущество
280;знание механизмов интеграции 1с преимущество
281;знание языков программирования (любых)
282;знание реляционной теории базовые навыки проектирования баз данных
283;исполнительность
284;коммуникабельность
285;разработка программных продуктов на платформе 1с
286;модификация типовых продуктов 1с
287;консультирование клиентов по вопросам учета в программах 1с
288;интеграция с внешними системами (напр веб-сайт клиента различные сервисы google яндекса и др)
289;опыт управления крупными проектами по внедрению crm-систем от 2 лет
290;опыт проведения интервью анализа данных подготовки и проведения презентаций подготовки отчетов постановки тз
291;высококвалифицированный пользователь продуктов microsoft office (в том числе ms project)
292;управление проектами по внедрению ms dynamics crm (управление содержанием сроками бюджетом ресурсами рисками изменениями проекта)
293;обеспечение комфортного рабочего процесса для проектной команды
294;поддержание и развитие взаимоотношений с клиентом обеспечение позитивного референса для процесса продаж
295;подготовка необходимых проектных документов и отчетов (рамки проекта устав проекта отчет по статусу проекта и др)
296;управление командой по поддержке информационных систем (в том числе на платформе 1с)
297;обеспечение бесперебойной работы информационных систем восстановление работоспособности систем в соответствии с sla
298;планирование загрузки ресурсов потоков работ обеспечение своевременного и качественного решения инцидентов
299;активное взаимодействие со смежными подразделениями по проработке требований от бизнес-функций для нахождения наилучших решений как удовлетворяющих требованиям так и обеспечивающих стабильную работу информационных систем
300;взаимодействие с инфраструктурным подразделением обеспечивающими эксплуатацию оборудования используемую для работы информационных систем
301;работа с внешними ресурсами участвующими в решении задач поддержки информационных систем
302;участие в архитектурной проработке планируемых к разработке решений
303;высшее образование
304;опыт работы руководителем управления ит дит от 5-ти лет
305;опыт практической разработки от 5-ти лет
306;глубокие знания и опыт пенсионной / страховой (лайф) специфики бизнеса
307;уверенные знания информационных систем понимание архитектурных стандартов и проектных методологий практический опыт применения
308;успешный опыт выбора внедрения разработки и эксплуатации информационных систем автоматизирующих back-офисные функции организации
309;понимание специфики поддерживающих бизнес-процессов
310;практический опыт создания и запуска подразделений с нуля выстраивания процессов администрирования мониторинга ввода в эксплуатацию и документирования систем
311;опыт внедрения crm решений 1с осбу xbrl кхд омниканальных платформ и решений
312;проведение презентаций
313;по телефону только исходящие звонки действующим пользователям приложения входящей линии нет
314;в чате прямо внутри приложения freshoffice
315;по e-mail
316;любовь к делу которое вы делаете
317;желание оказывать высокий сервис
318;желание помогать пользователям решать задачи
319;внимательность
320;грамотная речь
321;обладать простыми знаниями в области it
322;умение кратко грамотно быстро писать в чате
323;координация и контроль работы группы программистов 1с по задачам
324;разработка технической документации по проекту детализация требований до уровня постановки разработчику
325;обучение пользователей функциональное тестирование разработанного программного обеспечения
326;опыт работы консультантом по продуктам 1с
327;опыт проведения сбора требований заказчика
328;опыт разработки технической документации (тз бфт и пр)
329;опыт обучения сотрудников заказчика
330;умение оценивать объем работ планировать рабочее время свое и разработчиков
331;усидчивость самостоятельность проактивность
332;разработка алгоритмов управления автоматической коробкой передач и их реализация в среде matlab/simulink
333;разработка сценариев тестирования компонентов по осуществление первичной отладки
334;математическое моделирование элементов коробки передач и систем автомобиля в среде matlab/simulink
335;решение прикладных исследовательских задач в области управления автоматическими коробками передач
336;написание документации и технических отчетов
337;знание matlab/simulink версии r2015b или выше
338;высшее техническое образование
339;понимание основ устройства и принципов работы современных автомобилей и их электронных систем
340;опыт программирования
341;владение английским языком не ниже уровня pre-intermediate для чтения технической литературы и общения с зарубежными коллегами по переписке
342;реализация бизнес-логики на уровне базы данных
343;анализ и оптимизация работы базы данных
344;принципы проектирования баз данных
345;знание sql
346;опыт работы с любой реляционной базой данных (ms sql server oracle postgresql и тп)
347;многозадачность по направлениям: интернет-магазин онлайн-продажи работа с маркетплейсами
348;обучаемость порядочность трудолюбие ответственность
349;любовь к интернету интернет-магазинам онлайн продажам
350;наличие опытного ментора который не только обучает основам тестирования но и погружает в проектную деятельность
351;возможность попробовать свои силы в реальных проектах в роли помощника опытного тестировщика
352;возможность понять что такое it-среда и начать свою карьеру в этом направлении
353;улучшение качества наших продуктов
354;работа в команде с другими тестировщиками разработчиками аналитиками
355;разработка и актуализация тестовых сценариев
356;выполнение функционального регрессионного интеграционного тестирования
357;фиксирование результатов тестирования в проектном баг-трекере
358;понимание основ теории тестирования
359;понимание алгоритмов общее представление о скриптовых языках и языках высокого уровня
360;знание sql
361;знание концепции crm-систем как плюс
362;технический английский
363;подготовка и организация встреч с первыми лицами компаний
364;поиск новых клиентов и работа с действующей клиентской базой
365;работа с интересным интеллектуальным продуктом
366;выставление счетов контроль дебиторской задолженности
367;документальное сопровождение клиентов
368;разработка маркетинговых стратегий для всех проектов компании включая определение приоритетных направлений развития бизнеса в плане расширения клиентской базы и базы покупателей
369;оценка перспективы развития рынка перспективы компании по освоению и завоеванию того или иного сегмента рынка
