;Required skill
349;знание руководящих и нормативных документов касающиеся методов программирования и использования вычислительной техники при обработке информации знание нормативных актов и законов относящихся к ит и по
350;управление проектами по разработке и внедрению по знание современных методов управления ит проектами знание scrum и kanban методологий
351;планирование и управление бюджетом
352;архитектура современных erp систем
353;дизайн разработка и имплементация бизнес-процессов
354;разработка и дизайн-проектной пользовательской и технической документации
355;командная работа
356;знание и понимание itil
357;знание методологий управления и изменения мастер данных
358;знания по процессу и методам лицензирования компании microsoft
359;опыт управления группами разработчиков и консультантов
360;опыт работы в международных командах
361;желателен опыт работы в fmcg
362;sap erp
363;edi/эдо электронные каталоги b2b внутренний документооборот
364;dynamics 365 и sharepoint
365;языки программирования (abap с# javascript sql)
366;организовать входящий поток заявок с интернета
367;анализ яндексметрика google analytics (счетчики на сайте)
368;организация рекламных компаний (директ)
369;анализ юзабилити проекта и выявление точек роста для повышения конверсии
370;создание контента и информационных статей на сайте компании
